company_name,domain,description,booth,email,city,full_address,mobile_primary
ORN Gloves,orngloves.com,"Premium disposable hand protection engineered for automotive professionals. Combining exceptional strength, protection and comfort, helping you work efficiently and complete every task to a high standard. Minimising hassle, maximising performance and ensuring you go home safe and fulfilled after a productive day. Use ORN Gloves, stay on-the-tools, stay in-the-game!",,sales@orngloves.com,,,01280313106
OSCA,,"OSCA gives independent garages access to dealership-level diagnostic and programming expertise through a single remote support platform. From vehicle diagnostics and ECU coding to software updates, immobiliser work and SERMI security functions, OSCA helps workshops complete complex procedures quickly, securely and cost-effectively without dealership delays.",,,,,
Pichler Tools,pichler.tools,Pichler Tools Pichler Tools Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Pico Technology,picotech.com,"Pico Technology produces automotive oscilloscopes and diagnostic equipment. We develop industry-leading solutions that help technicians understand what is happening inside complex vehicle systems. By combining PicoScope oscilloscopes with intuitive software, guided tests and waveform analysis, we help technicians move beyond fault codes, identify root causes, reduce guesswork and achieve confident, evidence-based first-time fixes.",,recruitment@picotech.com,St Neots,"James House, Colmworth Business Park",
PNEUFLO SUPPLY CO,,"PneuFlo Supply Co, in partnership with Universal Air Tools, will be showcasing a wide range of high-performance compressed air solutions at Mechanex. Visitors can explore our latest air tools, durable hose reels, and essential workshop equipment designed to improve efficiency and reliability in demanding environments. Our team will be on hand to offer advice throughout the show. We’ll also be running exclusive show-only offers, with special pricing across selected air tools, hose reels, and workshop equipment making it the perfect opportunity to upgrade your setu",,,,,
Pro Align,pro-align.co.uk,Pro Align Pro Align Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Recoturbo,,Recoturbo Recoturbo Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
Rotronics,rotronicsbms.com,"Grow your service revenue significantly through battery maintenance! We are battery management experts and specialise in creating NEW revenue generating activities for aftermarket service centres. We won’t just sell you a new tester or charger, we actively support you to increase your revenue, boost customer service scores and maximise your service offerings.",,info@rotronicsbms.com,,,%2001453621244
SharkEye,sharkeye.org,"Used by thousands of professionals, including the UK MOD, US Air Force, Royal Mail, Halfords, MST Cars, Dunlop, and more. Built for workshops, mobile mechanics, and fleet operators, our aligners deliver precision, durability, and reliability—every time. Join the experts. Choose SharkEye.",,bosl-contact@ucsb.edu,,,
STEER-TEC,,"Steer-Tec offers a wide range of steering racks from stock and through its specialist re-manufacturing service. Manual, hydraulic and EPS racks, plus electro-hydraulic pumps and electric columns, are all within its capabilities. If they haven’t got it, they can fix it! Visit the Steer-Tec stand to find out more.",,,,,
Supertracker,supertracker.com,"Supertracker; Home of Straightforward Wheel Alignment. Discover the trusted Supertracker brand and see the market’s most compact computerised wheel alignment system. Tablet operation provides live readings at the vehicle, while the manoeuvrable trolley keeps heads conveniently stored for faster setup. Backed by our nationwide aftercare service team.",,,,,01909 480055
TechMan,,TechMan TechMan Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,,,,
TEXA,,"TEXA UK is a leading provider of advanced diagnostic and workshop solutions for the automotive industry. Visit our stand to discover the latest innovations in vehicle diagnostics, ADAS calibration, and air conditioning service equipment. We will be showcasing our comprehensive range of diagnostic tools for passenger cars, including cutting-edge ADAS calibration systems designed to support modern vehicle safety technologies. Visitors can also explore our industry-leading air conditioning service stations, developed to help workshops improve efficiency, accuracy, and profitability when servicing both R134a and R1234yf systems.",,,,,
The Turbo Guy,theturboguy.com,"The Turbo Guy is a leading UK turbocharger specialist, supplying remanufactured, aftermarket and commercial turbochargers to the trade. With over 15 years of industry experience, we combine technical expertise, quality products and customer-focused service to support motor factors and distributors across the UK. Come and meet our team at Mechanex to find out more!",,sales@theturboguy.com,,,
Thermobile,thermobile.com,Thermobile T hermobile Sandown Park Register for your FREE ticket now: Sandown Park Sandown Park Tagged Sandown Park,,sales@thermobile.com,,,+310765873450
Thinkcar UK,mythinkcar.uk,"Thinkcar UK is set to impress in 2025, showcasing its full powerhouse range of diagnostics! With unbeatable online programming and cutting-edge remote services, it’s more than just a tool—it’s a game-changer. Don’t miss the future of automotive diagnostics!",,support@mythinkcar.com,,,
Topdon UK,topdondiagnostics.co.uk,"Topdon UK is your trusted partner for cutting-edge automotive diagnostic tools and solutions. As the exclusive UK distributor, we offer unparalleled support, warranty handling, and a wide range of products tailored to professionals and enthusiasts alike. Discover innovative tools like the Phoenix series and elevate your diagnostic capabilities. Visit us at Topdon UK for more information.",,info@topdon.uk,Pangbourne,Reading Road,+441182270648
WALLMEK,,"Wallmek Tools designs and manufactures high-quality, specialist tools for professional automotive technicians. Our tools are developed to solve common, well-known challenges when working underneath cars and trucks — making difficult jobs safer, faster and more efficient. Designed by technicians, for technicians, our tools are built with a real understanding of the demands of the workshop and the value of having the right tool for the job. Invest in time. Work safer. Increase your productivity and profit.",,,,,
Welzh,welzh.com,"Welzh Werkzeug is a symbol of tool innovation and quality. We offer the most innovative and comprehensive ranges of Automotive Hand Tools and Equipment. This range includes Hand Tools, Specialist Tools, Extraction Sets, Socketry, Torque Tools, Spanners, Timing Kits, Body Work Tools, Air Tools, Lighting, Workshop Equipment and much more.",,info@welzh.com,,,+44-1461-700120
