exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_date,event_venue,source_url,source_year,organization_id
ABUS Security Center GmbH & Co. KG,abus.com,+49 8207 959900,info.de@abus-sc.com,"Linker Kreuthweg 5, 86444, Affing, Germany",Germany,Hall B7 | 261,,,Affing,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ABUS-Security-Center-GmbH-Co-KG--131521,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131521
Adalbert Zajadacz GmbH & Co. KG,zajadacz.de,+49 40 70077-0,info@zajadacz.de,"Lessingstraße 46, 21629, Neu Wulmstorf, Germany",Germany,Hall B2 Ground floor | 213,"Are you looking for a reliable electrical wholesale partner? Then you should get to know Zajadacz. Zajadacz is an independent, medium-sized family business whose success is built on innovation, reliability, and an approachable nature. As a full-range supplier, we plan, design, and deliver products and solutions from a comprehensive portfolio of electrical engineering offerings. Always engaging with our partners and customers as equals, we give our best every day—true to our guiding principle: ideas are part of our product range. We have always been fascinated by the challenges of tomorrow. That is why, in addition to the many Zajadacz branches here in the North, we operate specialized competence centers dedicated to addressing unique requirements and concepts. One of these concepts is E-Life. How can we generate, store, and utilize ""new energy""? We’ll reveal the answer to this—and much more—at booth B2.EG.213!",,Neu Wulmstorf,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Adalbert-Zajadacz-GmbH-Co-KG--131450,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131450
Adalbert Zajadacz GmbH & Co. KG,zajadacz.de,+49 40 70077-0,info@zajadacz.de,"Lessingstraße 46, 21629, Neu Wulmstorf, Germany",Germany,Hall B5 | 215,"As a strong partner, we help you fully unlock your business potential with compelling and effective solutions. For 90 years, we have been a reliable partner to specialist retailers, electrical contractors, and the industrial sector—always working as equals and true to our guiding principle: ideas are part of our product range. Our Product Range We are proud to be one of the industry’s most successful full-service providers. You have access to our entire portfolio of 850,000 products—whether via our EVI customer portal, our app, by phone, or in person through one of Zajadacz’s many sales representatives. Simply Good You can expect a few positive surprises when working with us. For instance, you will find a receptive ear for your needs at our competence centers. We are also here for you when requirements go beyond your day-to-day business. We established our competence centers to handle questions and challenges involving complex product areas, specialized planning, or simply highly multifaceted projects. There, you are supported by experts specializing in their respective fields—professionals who are personally available to assist you. This is how we guarantee the best advice as your ideal partner.",,Neu Wulmstorf,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Adalbert-Zajadacz-GmbH-Co-KG--131369,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131369
Adam's Bautenschutz GmbH und Co. KG,adams-bautenschutz.de,+49 481 67475,info@adams-bautenschutz.de,"Spanngrund 2 - 4, 25746, Heide/Ostrohe, Germany",Germany,Hall B6 | 105,,,Heide/Ostrohe,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Adam-s-Bautenschutz-GmbH-und-Co-KG--131568,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131568
Adolf Schuch GmbH Lichttechnische Spezialfabrik,schuch.de,+49 6241 4091-0,info@schuch.de,"Mainzer Straße 172, 67547, Worms, Germany",Germany,Hall B5 | 345,"Founded in 1895 by Adolf Schuch and today one of the leading companies in its sector. As a specialised lighting factory, SCHUCH offers a broad portfolio of technical luminaires with a higher degree of protection for industrial, commercial and municipal applications. Future-orientated and reliable, the company operates on the market and sets the highest quality standards for itself and its products. SCHUCH luminaires are unmistakable branded products made in Germany whose high quality standard you can always rely on. The company is committed to future-proof product design. Whether through a modular design, tool-free component replacement, a high proportion of recycled material, or the long-term availability spare parts supply – even after a product has been discontinued. Now in its fifth generation, the Worms-based family business is successfully continuing its tradition. SCHUCH - competent, innovative and with a passion for excellent lighting!",,Worms,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Adolf-Schuch-GmbH-Lichttechnische-Spezialfabrik--131161,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131161
Afriso-Euro-Index GmbH,afriso.de,+49 7135 1020,marketing@afriso.de,"Lindenstraße 20, 74363, Güglingen, Germany",Germany,Hall A1 | 210,"Technologie, die dem Umweltschutz dient. Dafür steht AFRISO seit vielen Jahrzehnten. Wir entwickeln und fertigen Mess-, Regel und Überwachungsgeräte für Haustechnik, Industrie und Umweltschutz. Weltweit über 1.200 Mitarbeiter, davon rund 600 an vier deutschen Standorten, arbeiten daran, mit Produktinnovationen mehr Energieeffizienz und Nachhaltigkeit zu ermöglichen. AFRISO präsentiert sich unter dem Motto „Polymere Produktlösungen: Nachhaltig. Langlebig. Made in Germany“. Wie hochwertige Kunststoffe ihren Beitrag zur Energiewende leisten und welche Vorteile sich daraus im Arbeitsalltag des SHK-Handwerks ergeben, möchten wir Ihnen gerne persönlich vorstellen. • Umfangreich… ist unser neues Portfolio an Zubehör zur professionellen Ausrüstung von Wärmepumpen. Kompakte Pufferspeicher, ein steckerfertiges Hydraulikmodul oder einzelne Komponenten wie Frostschutzventile, Schlammabscheider oder Umschaltventile sorgen für einen effizienten und funktionssicheren Betrieb. • Einfach... geht’s in puncto Dokumentation typischer SHK-Messaufgaben bei Verwendung der CAPBs®-Sets und der kostenlosen App EuroSoft® live. Egal ob Dichtheitsprüfung von Gas- und Wasserinstallationen, Abdrücken von Fußbodenheizungssystemen, Heizungscheck, Heizungswasserprüfung, thermische Desinfektion oder andere Messaufgaben – mit dem modularen System lässt sich jeder Prüfablauf im Handumdrehen erledigen und automatisch als umfangreiches PDF-Protokoll mit Fotos, Notizen und Unterschrift dokumentieren. • Green Fuels ready… synthetisch hergestellte, paraffinische Brennstoffe ermöglichen den schnellen Einstieg in eine Brückentechnologie zur Wärmewende. Das komplette AFRISO Produktsortiment an Ausrüstung für Ölheizungen und -tankanlagen ist fit für diese neuen flüssigen Brennstoffe! Starten Sie mit Ihren Kunden schon jetzt in die Zukunft dank der Möglichkeit klassisches Heizöl, E-Fuels und Bio-Heizöl zu mischen und den Anteil an klimaneutraler Energie in den nächsten Jahren kontinuierlich bis zu einer 100%igen CO2-Neutralität hochzufahren. Freuen sich zudem auf diese Neuheiten und Produkt-Highlights: • Zonenverteiler ProFusion HSM zur klassischen Wärmeverteilung oder als Hydraulische Weiche. Erleben Sie die maximale Flexibilität, anpassbar auf jede Einbausituation • Pufferspeicher ABT als Wärme- oder Kältespeicher – ideal auch für den Aufbau von Hybrid-Heizungsanlagen • Heizungspumpengruppen PrimoTherm® - jetzt auch in Polymer-Ausführung! Mit cleveren Komponenten wie z. B. 3-Wege-Mischer mit einstellbarem Kvs-Wert oder Schnell-Montagesystem ProClick • AFRISO Cloud-Systeme für Abscheider-Warngeräte oder für das neue Füllstandmessgerät TankControl 20/25 • Abgasmessgeräte-Sets: Z. B. BLUELYZER® C1 ProSet als einsatzfertiges Komplettpaket zur Messung an Gas-,Öl- oder Pelletsanlagen, inkl. CO-high-Zelle zur Messung aller Wärmeerzeuger bis 20.000 ppm • Eine digitale 4-Wege-Monteurhilfe für mehr Komfort und Übersicht bei der Inbetriebnahme und Wartung von Wärmepumpen oder Kälteanlagen. Der integrierte Vakuumsensor sorgt für maximale Absicherung gegen Überlastung, Sogenannte WIZARDs erklären Schritt für Schritt alle nötigen Arbeitsschritte der Prüfung, sodass nichts vergessen werden kann. Und nicht zu vergessen: Eine echte smarte Hilfe, die Zeit und Nerven spart bei der Inbetriebnahme und dem Service an Wärmepumpenanlagen. Seien Sie gespannt! Wir freuen uns auf Ihren Besuch! Link zum Unternehmensfilm: https://www.youtube.com/watch?v=IFaWWw3Ptbw",,Güglingen,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Afriso-Euro-Index-GmbH--131190,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131190
Airflow Lufttechnik GmbH,airflow.de,+49 2226 9205-0,info@airflow.de,"Wolbersacker 16, 53359, Rheinbach, Germany",Germany,Hall A1 | 231,"Die Airflow Lufttechnik GmbH mit Sitz in Rheinbach bei Bonn entwickelt und vertreibt seit über 60 Jahren Lösungen für energieeffiziente Raumlufttechnik und präzise Messtechnik. Eingebunden in eine internationale Unternehmensgruppe und zugleich mittelständisch geprägt, verbindet Airflow heute globale Innovationskraft mit regionaler Kundennähe. Von Rheinbach aus betreut das Unternehmen Kunden in Deutschland, Österreich sowie gemeinsam mit der Tochtergesellschaft in Prag weitere europäische Märkte. Der Hersteller ist spezialisiert auf Lüftungssysteme mit hocheffizienter Wärmerückgewinnung für Nichtwohngebäude, Bildungseinrichtungen sowie den mehrgeschossigen Wohnungsbau. Das Portfolio umfasst zentrale und dezentrale Kompaktlüftungsgeräte mit Volumenströmen von etwa 100 bis 15.000 m³/h bis hin zu modularen Anlagen für große Volumenströme (bis 150.000 m³/h) und komplexe Anwendungen. So entsteht ein durchgängiges Spektrum zentraler Lüftungslösungen – von der kompakten Standardanwendung bis zur flexibel konfigurierbaren Großanlage. Ergänzend bietet Airflow Messtechnik zur Erfassung und Optimierung von Luftmengen, Druckverhältnissen und Raumluftqualität. Neben der Produktentwicklung gehören Serviceleistungen wie Inbetriebnahme, digitale Anlagenüberwachung sowie ein eigenes Kalibrierlabor für messtechnische Geräte zum Leistungsspektrum. Zentrale Misson der Reinbacher Lüftungsexperten ist es, Gebäude mit moderner Lüftungs- und Messtechnik gesünder, energieeffizienter und zukunftsfähiger zu machen.",,Rheinbach,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Airflow-Lufttechnik-GmbH--131403,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131403
AL-KO Airtech,alko-airtechnology.com,+49 8225 39-0,klima.technik@alko-air.com,"Hauptstraße 248 - 250, 89343, Jettingen - Scheppach, Germany",Germany,Hall A1 | 220,"AL-KO Airtech has been your specialist in energy-efficient ventilation and air conditioning technology and modern extraction technology for more than 50 years. The business unit Air Technology delivers healthy indoor air through advanced ventilation and air conditioning solutions wherever people come together – from classrooms and medical practices to office environments. A particular focus lies on the ventilation and climate control of commercial and industrial spaces. With units from the modular AL-KO AT4 air handling range, the company enables efficient ventilation for industrial production facilities, server rooms, shopping centres, exhibition halls, conference centres, swimming pools, health and wellness facilities, and many other applications. AL-KO Air Technology also brings specialist expertise to hygiene-sensitive environments such as healthcare, hospitals, the chemical industry, and the food and pharmaceutical sectors. Manufactured to the MADE IN GERMANY quality standard, AL-KO units combine high energy efficiency with outstanding hygiene, while also offering user-friendly operation and straightforward installation. The company’s service portfolio covers the entire equipment life cycle – from planning, installation and commissioning to maintenance, repair, spare parts supply and retrofit solutions. AL-KO also supports consulting engineers and system planners with proven digital tools for the design of air handling systems, including the AL-KO AIRCLOUD configuration platform and the AL-KO BIM Converter, which integrates ventilation system data into the digital BIM building model. With 50 years of experience, AL-KO Airtech is one of the world’s leading manufacturers of ventilation and air conditioning technology.",,Jettingen - Scheppach,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--AL-KO-Airtech--131356,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131356
Albert Leuchten,albert-leuchten.de,+49 2373 9781-0,info@albert-leuchten.de,"Hanns-Martin-Schleyer-Straße 1, 58730, Fröndenberg, Germany",Germany,Hall B6 | 176,"Albert Leuchten develops and manufactures outdoor luminaires as well as power and socket columns for private, commercial and public outdoor areas. The company headquarters and production facilities are located in Fröndenberg, North Rhine-Westphalia, Germany. Our product range includes wall, bollard, pole, post and recessed luminaires, as well as power and socket columns for gardens, terraces, pathways, driveways, commercial premises, hotel facilities and larger outdoor areas. A key focus is on project-specific solutions. Depending on the intended application, power and socket columns can be equipped with different sockets, connections and components – for example for service areas, maintenance work, parking spaces or commercial applications. This makes it possible to plan projects with multiple power points in a consistent and needs-based way. At GET Nord 2026, we will present our product range, individual configuration options and solutions for outdoor areas. Our products and services are aimed primarily at electrical wholesalers, electrical contractors, planners and project managers.",,Fröndenberg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Albert-Leuchten--131545,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131545
Albrecht Jung GmbH & Co. KG,jung-group.com,+49 2355 8060,kundencenter@jung.de,"Volmestraße 1, 58579, Schalksmühle, Germany",Germany,Hall B7 | 220,"JUNG - Progress as tradition JUNG stands worldwide for timeless design and future-oriented building technology. For more than 100 years, innovation, passion and precision have been guiding product developments. Light, shading, air conditioning, energy, security, door communication and multimedia - JUNG systems offer the right solution for every requirement. Aesthetic design merges with intelligent Smart Home and Smart Building technology. 90 percent of the products are manufactured in Germany, as evidenced by the TÜV Nord test seal ""Made in Germany"". With the commitment to production in Germany, JUNG also focuses on sustainable and resource-efficient manufacturing processes. The team spirit and the solidarity of the more than 1,600 employees in Germany as well as in the 20 subsidiaries and more than 70 agencies in Europe, the Near and Middle East, Asia and North America contribute significantly to the courageous and creative implementation of the claim ""Progress as Tradition"" into action.",,Schalksmühle,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Albrecht-Jung-GmbH-Co-KG--131273,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131273
Albrecht Jung GmbH & Co. KG,jung-group.com,+49 2355 8060,kundencenter@jung.de,"Volmestraße 1, 58579, Schalksmühle, Germany",Germany,Hall B7 | P46,,,Schalksmühle,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Albrecht-Jung-GmbH-Co-KG--138281,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138281
ALED Deutschland GmbH,aled.de,+49 40 537976795,ck@aled.de,"Venusberg 6, 20459, Hamburg, Germany",Germany,Hall B6 | 373,,,Hamburg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ALED-Deutschland-GmbH--138749,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138749
Allmess GmbH,allmess.de,+49 4361 6250,info@allmess.de,"Am Voßberg 11, 23758, Oldenburg, Germany",Germany,Hall B6 | 516,,,Oldenburg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Allmess-GmbH--131497,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131497
Alphatec Schaltschranksysteme GmbH,alphatec-systeme.de,+49 9484 951090,info@alphatec-systeme.de,"Bibersbach 2 A, 93179, Brennberg, Germany",Germany,Hall B7 | 421,"Alphatec Schaltschranksysteme GmbH is a medium-sized company in the electrical industry based in Brennberg. Since its founding in 1993, the family-run business has been on a growth trajectory and is now one of the leading suppliers of power distribution panels and charging stations. As a full-service provider, all manufacturing steps are carried out in-house, offering maximum control, high precision, and versatile development opportunities. The modern machinery and extensive in-house production capabilities create an innovative work environment where metalworking, plastics processing, powder coating, and electrical assembly are seamlessly integrated. Control cabinets are manufactured in standard sizes or custom-made—flexibly adaptable to any room or building size as well as various industries. The range extends from small distribution panels to main distribution cabinets, from standard solutions to custom-wired special distribution systems. Since 2020, the production of proprietary charging stations for electric vehicles has expanded the portfolio.",,Brennberg,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Alphatec-Schaltschranksysteme-GmbH--131586,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131586
ALRE-IT Regeltechnik GmbH,alre.de,+49 30 39984-0,mail@alre.de,"Richard Tauber Damm 10, 12277, Berlin, Germany",Germany,Hall B7 | 379,,,Berlin,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--ALRE-IT-Regeltechnik-GmbH--131627,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,131627
Anping Qinghe Metal Mesh Co. Ltd.,perforated-metal.cn,+86 318 7568158,sales@perforated-metal.cn,"IV 35, Industrial Park Anping Hebe, 053600, Anping, China",China,Hall A1 | 504,"We are a Chinese manufacturer specializing in perforated metal and metal mesh products. We have been producing perforated metal sheets, coils and other metal mesh products since 2003. Our perforated metal is available in sheet or coil form, with all specifications fully customization, including material, thickness, hole size and pitch. The thickness ranges from 0.5 mm (0.02 in) to 15 mm (0.6 in), and the minimum hole size we can achieve is 0.5 mm (0.02 in). Equipped with state-of-the-art moulding capabilities, we can produce molds up to 1500 mm in length. We also manufacture expanded metal, welded wire mesh, welded wire fence, aluminum/steel/stainless steel grating, crimped wire mesh, security screen and more. We currently serve over 300 customers across more than 40 countries, and we sincerely hope to have the opportunity to cooperate with you.",,Anping,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Anping-Qinghe-Metal-Mesh-Co-Ltd--138761,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,138761
Aperam Stainless Services & Solutions Germany GmbH,uginox.com,+49 7042 831034,florence.gross@aperam.com,"Dieselstraße 5, 74372, Sersheim, Germany",Germany,Hall B3 Ground floor | 112,,,Sersheim,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Aperam-Stainless-Services-Solutions-Germany-GmbH--140846,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,140846
Apollo Green Solutions UG,apollo-gs.com,+ 49 1520 4754858,rafail@apollo-gs.com,"Raumerstraße 3, 50935, Köln, Germany",Germany,Startup@GET NORD by VdZ | Hall B1 Ground floor | 103.10,,,Köln,https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis#organization--Apollo-Green-Solutions-UG--152488,2026-11-19 to 2026-11-21,"Hamburg Messe und Congress, Hamburg, Germany",https://www.get-nord.de/ausstellen-besuchen/ausstellendenverzeichnis,2026,152488
