exhibitor_name,domain,contact_number,mail,location,country,name,desc,email,phone,address,city,linkedin_url,profile_url,source_year
Elbert Immobilien & Finanz GmbH,immobilien-elbert.de,05921-826041,INFO@IMMOBILIEN-elbert.de,"Neuenhauser Str. 76-78, 48527, Nordhorn, DE",Germany,Elbert Immobilien & Finanz GmbH,"Das sind wir Gegründet wurde das Unternehmen durch die Kaufleute Wilhelm Elbert und Werner Poll im Jahr 1995. Seit 2025 befindet sich die Elbert Immobilien & Finanz GmbH (ehemals EPI Elbert + Poll Immobilien GmbH (EPI)) vollständig in Besitz der Familie Elbert. Als inhabergeführtes Familienunternehmen können wir unabhängig und eigenständig handeln und wirtschaften. Dies ist eine wesentliche Grundlage für anhaltenden Unternehmenserfolg und nachhaltige Kundenbeziehungen. Mit jahrzehntelanger erfolgreicher Erfahrung im Vertrieb sowie langjähriger erfolgreicher Erfahrung in der Immobilienprojektentwicklung und einem vorhandenen Hochschulstudium im Bereich Immobilienwirtschaft und -management machen wir den Unterschied. Wir möchten das optimale Ergebnis für unsere Kunden erzielen, daher stehen Aus- und Weiterbildungen bei uns auf der Tagesordnung. Unser „Knowhow“ macht uns zu einem ausgebildeten Experten für den Immobilienverkauf und die Immobilienvermietung in Nordhorn sowie in der Grafschaft Bentheim. Leistungen Auf der Suche nach Ihrem ganz persönlichen Traumhaus sind wir Ihr zuverlässiger und kompetenter Ansprechpartner. Wir verschaffen Ihnen in einem ausführlichen Beratungsgespräch und anhand aussagekräftiger Exposés einen optimalen Überblick über den aktuellen Immobilienmarkt. Auf Wunsch beraten Sie über wichtige Versicherungen rund um die Immobilie. Angebote Damit Ihre Immobilie auf dem Immobilienmarkt auf schnelle Resonanz trifft, präsentieren wir diese auf vielfältige Art und Weise. Umfangreiche Präsentationen Ihrer Immobilie finden Sie in allen maßgeblichen Printmedien, auf diversen Immobilienplattformen im Internet und in unseren Schaukästen. Unser aktuelles Immobilienangebot finden Sie unter Facebook und hier im Internet. Objekt anbieten Weil Sie bei uns im Mittelpunkt stehen. Bei EPI stehen Sie im Mittelpunkt, Sie und Ihre Immobilie. Egal aus welchem Grund Sie Ihre Immobilie verkaufen bzw. kaufen wollen und was auch immer Ihre Vorstellungen, Wünsche und Ziele sind. Wir wollen jedem Kunden mit unserer Arbeit und Dienstleistung einen Mehrwert bieten, den Sie ohne unser Tun nicht hätten. Denn dann sind wir unser Geld auch wert und unsere Provision ist eine ehrlich verdiente Erfolgsprovision.",INFO@IMMOBILIEN-elbert.de,05921-826041,"Neuenhauser Str. 76-78, 48527, Nordhorn, DE",,,https://www.lebenstraeume-grafschaft.de/aussteller/elbert-immobilien/,2026
Evers & Sommer,evers-sommer.de,+4959213701780,info@evers-sommer.de,,Germany,Evers & Sommer,"Wenn wir auch klein angefangen haben, so unterstützt uns heute ein Team von vierzehn Mitarbeitern mit zehn Einsatzwagen, die rund um die Uhr um Ihr Wohl bemüht sind. Ein Vierteljahrhundert in der Selbstständigkeit und unser immer weiter wachsende Unternehmen hat uns einiges an Erfahrung gelehrt. Um den Austausch zwischen den Generationen immer aufrechtzuerhalten, haben wir uns dazu entschieden motivierten Nachwuchs in unserem Fachgebiet auszubilden. Unser neuer größerer Standort, der selbst durch eine Luft-Wasser-Wärme-Pumpe der neusten Generation versorgt wird, macht es uns möglich flexibel Aufträge entgegenzunehmen. Darunter finden sich nicht nur Einfamilienhäuser in der Grafschaft, sondern auch Großprojekte, wie das ehemalige Hallenbad am Stadtring, das Hotel Riverside, das „Move-Inn“-Hostel, das Haus des Sports oder unser Kegelsportzentrum. In den Bereichen Sanitär-, Heizung-, Lüftung- und Klimatechnik sowie Schwimmbadtechnik, Fotovoltaikanlagen, Solar- und Wärmetechnik sind wir Ihr Fachmann!",info@evers-sommer.de,+4959213701780,,,,https://www.lebenstraeume-grafschaft.de/aussteller/evers-sommer/,2026
Fliesen Design Holzke,web2.cylex.de,,,,Germany,Fliesen Design Holzke,,,,,,,https://www.lebenstraeume-grafschaft.de/aussteller/fliesen-design-holzke/,2026
Freiraumplanung Tenfelde,freiraumplanung-tenfelde.de,,,,Germany,Freiraumplanung Tenfelde,"Freiraumplanung Tenfelde – Das Planungsbüro für kreative Ideen. „Wer sich der Gartenleidenschaft verfiel, ist noch nie geheilt worden. Er fühlt sich immer tiefer in sie verstrickt.“ (Karl Förster) Um diese Leidenschaft zu verstehen, ist es wichtig seine Bedürfnisse und Wünsche zu kennen. Dabei unterstütze ich Sie. Meine Leistungen beginnen bei der Analyse Ihrer Wünsche und Bedürfnisse. In einem ersten Gespräch filtern wir diese heraus, um Ihnen in Ihrem zukünftigen Garten ein Gesicht zu geben. Es folgt eine Besichtigung Ihres Gartens. Bis zur Realisierung des Wunschgartens stehe ich an Ihrer Seite, auch für Selbstbauer bin ich selbstverständlich gerne Ansprechpartner und Berater. Weitere Arbeitsschwerpunkte sind nicht nur die Realisierung von Hausgärten, sondern unter anderem auch die Planung von Spielplätzen, Pflanz- und Detailplanungen sowie die Planung von öffentlichen Grünanlagen. Dies geschieht immer in Abstimmung mit den Auftraggebern in einem persönlichen Gespräch. Ebenso stehe ich für ein individuelles Beratungsgespräch zur Verfügung, wir von Freiraumplanung Tenfelde freuen uns über einen Kontakt Ihrerseits.",,,,,,https://www.lebenstraeume-grafschaft.de/aussteller/freiraumplanung-tenfelde/,2026
FU Finanz-Union Vermittlungs AG,finanz-union.de,,,,Germany,FU Finanz-Union Vermittlungs AG,"Mit der FU Finanz-Union Vermittlungs AG setzen Sie auf ein erfahrenes, kompetentes und nachweislich erfolgreiches Team. Seit 1992 sind wir als Finanzdienstleister mit Zentrale in Nordhorn bundesweit tätig, betreuen mittlerweile weit über 30.000 Kunden und verwalten ein Vermögen von mehr als 350 Millionen Euro. Durch unser gebündeltes Know-how bieten wir Ihnen eine ganzheitliche Beratung nach Ihren Wünschen und Zielen. Ihre eindeutigen Vorteile liegen in unserer absoluten Neutralität gegenüber den Produktanbietern. Somit wählen wir für Sie das jeweils passende Angebot aus dem Gesamtmarkt aus. Als Hauptsitz der FU Finanz-Union Vermittlungs AG vereint unser Dienstleistungszentrum in Nordhorn optimale Kundenbetreuung und den Service unserer Vermittler. Das Dienstleistungszentrum der FU Finanz-Union Vermittlungs AG stellt ein erfahrenes BackOffice, das Vermittlern und Kooperationspartnern den Rücken frei hält. Mit rund 40 Mitarbeitern kann eine optimale Kundenbetreuung sichergestellt und für Erreichbarkeit, Koordination und Dokumentation sämtlicher Kundenkontakte gesorgt werden. Während sich die Vermittler in Beratungsgesprächen um die optimale Betreuung der Klienten kümmern, setzt das BackOffice alles daran, eine reibungslose Organisation, von der Kundenanfrage bis zur Vertragsabwicklung, zu gewährleisten.",,,,,,https://www.lebenstraeume-grafschaft.de/aussteller/fu-finanz-union-vermittlungs-ag/,2026
G. Büter Bauunternehmen GmbH,bueter-bau.de,+495944 9393-0,info@bueter-bau.de,,Germany,G. Büter Bauunternehmen GmbH,"So wird gebaut! „büter – so wird gebaut!“ – Das ist unser Motto, unser Maßstab und unser Versprechen an Sie. Schon seit über 90 Jahren realisieren unsere über 100 Mitarbeiterinnen und Mitarbeiter nach dieser Devise anspruchsvolle Bauprojekte. Wir stehen für Innovationsgeist, Qualität, Nachhaltigkeit, Zuverlässigkeit und Vertrauen. Jeden Tag freuen wir uns aufs Neue darauf, unsere Leistungsbereitschaft und unsere Leistungsfähigkeit unter Beweis zu stellen. Wir laden Sie herzlich ein, sich ein Bild von unserem innovativen Unternehmenskonzept zu machen. Das sind wir Als erfolgreiches Unternehmen wollen wir mit der progressiven, nachhaltigen Entwicklung von Bauprojekten einen wesentlichen Beitrag zum Gemeinwohl leisten. Unser Anspruch ist es, auch zukünftigen Generationen ein sicheres, energiebewusstes Zuhause zu bieten. Wir verfolgen kein rein wirtschaftliches Interesse, sondern sind davon überzeugt, dass unser Unternehmen nur dann wirklich erfolgreich ist, wenn langfristig möglichst viele Menschen von den von uns entwickelten Projekten profitieren. Hier gehen wir unseren eigenen Weg, der weit über die Vorgaben der Politik und Verwaltung hinausdenkt. Innovativ zu bauen bedeutet selbstbestimmt zu leben. Zukunftsorientierte Raumrealisierer Wir arbeiten ganzheitlich. Das heißt, wir entwickeln immer neue Ideen und lassen diese gemeinsam mit unseren Auftraggebern Realität werden. Sowohl beim Planen als auch beim Bauen sind wir auf dem neuesten technischen sowie wissenschaftlichen Stand und berücksichtigen alle Innovationen, die umsetzbar und nachhaltig sind. So haben wir uns vom Rohbau über den Schlüsselfertigbau bis hin zur mutigen Projektentwicklung als zukunftsorientierte Raumrealisierer unserer Region etabliert. Mit jedem unserer Projekte werden wir Ihre Erwartungen nicht nur erfüllen, sondern übertreffen. Denn wir wollen, dass Sie nicht nur zufrieden, sondern begeistert sind. Innovative Verantwortungsträger Wir schaffen zukunftsfähigen Wohn– und Arbeitsraum, indem wir durchdacht, nachhaltig und verantwortungsbewusst planen und bauen. Unsere ressourcenschonenden, gemeinschaftsorientierten und innovativen Bauprojekte ebnen den Weg für die Lösung wichtiger gesellschaftlicher Fragen: Gemeinschaftliches Wohnen, hybride Typologien, low– oder hightech Quartiersentwicklung und autarke Lebensräume sind reizvolle und überzeugende Konzepte, die auf lange Zeit leistbare Betriebskosten garantieren, auch in einer sich verändernden Zukunft Bestand haben und damit weit über derzeitige politische Vorgaben hinausdenken. Wir bauen innovativ, damit Sie selbstbestimmt leben können. Die gesellschaftlichen und ökologischen Herausforderungen unserer Zukunft stehen im Fokus unseres unternehmerischen und fachlichen Denkens und Handelns. Verantwortungsbewusste Risikomanager Wir sind uns unserer großen Verantwortung bewusst: Durch die regelmäßige Evaluierung unserer Arbeitsprozesse garantieren wir Ihnen einen effizienten Planungs- und Bauablauf und damit höchstmögliche Termin- und Kostensicherheit. Die breitgefächerte Expertise unseres interdisziplinären Teams und unser zuverlässiges Netzwerk ermöglichen es uns, auch die ambitioniertesten Projekte auf höchstem Niveau zu realisieren.?Dabei legen wir während des gesamten Prozesses großen Wert auf den transparenten und vertrauensvollen Austausch mit allen Projektpartnern und Auftraggebern. Als Risikomanager übernehmen wir dabei nicht nur Verantwortung während der Planungs- und Bauphase, sondern wir stehen Ihnen auch danach dauerhaft und zu jederzeit als kompetenter Ansprechpartner und Berater zur Seite.? Inspirierende Möglichmacher Die Grafschaft ist für uns Identität und Inspiration zugleich: Als Grafschafter Unternehmen sind wir unserer Heimat sehr verbunden. Die langjährige Zusammenarbeit mit qualifizierten Partnern aus unserer Region ist für uns eine wichtige Tradition, die sowohl regionale Wertschöpfung als auch gegenseitige Wertschätzung bedeutet. Ein vertrauensvolles Miteinander prägt die Grafschaft ebenso wie unser Unternehmen und ist die Basis für den Projekterfolg. Unsere firmeneigenen Grundwerte und Verhaltensstandards ermöglichen auch innerhalb unseres Teams eine professionelle und zugleich vertrauensvolle Zusammenarbeit auf Augenhöhe. Gemeinsam schaffen wir resiliente Wohn- und Arbeitsräume, die Identität stiften und inspirieren.",info@bueter-bau.de,+495944 9393-0,,,,https://www.lebenstraeume-grafschaft.de/aussteller/g-bueter-bauunternehmen-gmbh/,2026
GartenForm Galabau,gartenform-galabau.de,,,,Germany,GartenForm Galabau,"Terrassendächer Premium-Überdachungen aus Aluminium Das gewisse Extra für Ihren Garten – hochwertig, individuell und vielfältig! Egal, ob mit Glas oder Polycarbonat ausgestattet, ob mit integriertem Sonnen- oder Sichtschutz – wir lassen keine Wünsche offen! Wintergärten Premium-Überdachungen aus Aluminium Eine stilvolle, moderne Alternative, wenn Sie sich mehr Wohnraum wünschen, aber kein Geld für einen teuren Anbau ausgeben möchten. Die schönen Kaltwintergärten sind eine praktische Alternative zur Terrassenüberdachung. Hier lässt sich die Natur zu jeder Jahreszeit genießen. Freistehende Carports Eleganter Schutz fürs Auto Perfekt integriert in die Umgebung steht Ihr Carport neben dem Haus und bietet Ihrem Auto Schutz vor den Elementen. Carports müssen nicht nur praktisch sein, sondern sollten auch mit Ihrem Haus und Garten harmonieren. Auf eine moderne Optik und stilvolle Ausstattung legen wir größten Wert.",,,,,,https://www.lebenstraeume-grafschaft.de/aussteller/gartenform-galabau/,2026
GEWO Gesellschaft für Wohnen und Bauen mbH,gewo-nordhorn.de,004959217060,info@gewo-nordhorn.de,,Germany,GEWO Gesellschaft für Wohnen und Bauen mbH,"Die gewo ist der größte Wohnungsanbieter in der Grafschaft Bentheim Willkommen bei der gewo. Seit mehr als 75 Jahren sind wir euer zuverlässiger Partner für modernes, sicheres und bezahlbares Wohnen in und um Nordhorn in der Grafschaft Bentheim. Mit Leidenschaft bauen, verwalten, verkaufen und sanieren wir Immobilien und übernehmen Verantwortung für lebenswerte Nachbarschaften und eine nachhaltige Entwicklung unserer Region. Wir setzen dabei auf Nähe, Nachhaltigkeit und Zukunftssicherheit. Der Mensch steht für uns immer im Mittelpunkt: Wir schaffen Wohn(t)räume für Singles, Familien und Senioren. In den mehr als sieben Jahrzehnten, die es die gewo nun schon gibt, haben wir kontinuierlich an Erfahrung und Kompetenz gewonnen, an regionaler Verbundenheit und an Sicherheit. Dies gibt uns die Stärke zu sagen, dass wir gewohnt gut sind. Wir verstehen Immobilien, wir bauen nach den neuesten Standards und wir kennen die Region. Unser neues Logo drückt dieses Selbstbewusstsein und unsere Werte auf moderne und klare Weise aus. Das neue Logo steht für unsere gewachsene Identität und gleichzeitig für den Blick nach vorn. Es verbindet Tradition und Wandel, Stabilität und Bewegung.",info@gewo-nordhorn.de,004959217060,,,,https://www.lebenstraeume-grafschaft.de/aussteller/gewo-gesellschaft-fuer-wohnen-und-bauen-mbh/,2026
Glüpker Lufttechnik GmbH,gluepker-lufttechnik.com,+49 (0) 5942-988177,info@gluepker-lufttechnik.de,,Germany,Glüpker Lufttechnik GmbH,"Qualität wird hier groß geschrieben ! Seit vielen Jahren arbeitet die Glüpker Lufttechnik GmbH erfolgreich im Bereich Wohnraumlüftung, Klimaanlagen und Staubsaugeranlagen. Mit über 500 eingebauten Anlagen, zählt das Unternehmen zu den wenigen Fachunternehmen der Branche. Zufriedene Kunden sind besonders wichtig. Darum nehmen die Mitarbeiter von Glüpker Lufttechnik GmbH sich die Zeit, Sie umfassend zu beraten und erstellen Ihnen ein Angebot, was ganz auf Ihre Situation und Wünsche eingeht. Die Glüpker Lufttechnik GmbH bietet Ihnen ein sehr gutes Preis/Leistungsverhältnis! Verarbeitet werden ausschließlich hochwertige Materialien von führenden Herstellern. Profitieren Sie von langjähriger Erfahrung! Gerne unterbreitet die Glüpker Lufttechnik GmbH Ihnen ein unverbindliches Angebot!",info@gluepker-lufttechnik.de,+49 (0) 5942-988177,,,,https://www.lebenstraeume-grafschaft.de/aussteller/gluepker-lufttechnik-gmbh/,2026
Grafschafter Volksbank eG,grafschafter-volksbank.de,059211720,info@grafschafter-volksbank.de,,Germany,Grafschafter Volksbank eG,"Kompetent. Regional. Verlässlich. – Ihre Immobilienexperten der Grafschafter Volksbank Seit über 50 Jahren ist die Immobilienabteilung der Grafschafter Volksbank eG der verlässliche Partner für Kauf, Verkauf und Vermittlung von Immobilien in der Grafschaft Bentheim und Umgebung. Mit über 10.000 erfolgreich vermittelten Objekten und einer Erfolgsquote von 94 % stehen wir für Erfahrung, Marktkenntnis und Vertrauen. Unsere Stärke liegt in der Kundennähe: Wir kennen den regionalen Markt, hören genau zu und begleiten Sie persönlich – vom ersten Beratungsgespräch bis zum Notartermin. Käufer und Verkäufer profitieren dabei gleichermaßen von Bonitätsprüfungen, die Sicherheit und Transparenz in jeder Vermittlung schaffen. Durch die enge Verzahnung mit der Bank bieten wir Ihnen ein ganzheitliches Konzept – von der realistischen Wertermittlung über maßgeschneiderte Finanzierungen bis hin zu Beratung bei Modernisierung, Sanierung und Fördermitteln. So entstehen nachhaltige Lösungen, die zu Ihnen und Ihrer Immobilie passen. Unser Leistungsversprechen: Besuchen Sie uns auf der Messe – wir freuen uns auf den Austausch mit Ihnen!",info@grafschafter-volksbank.de,059211720,,,,https://www.lebenstraeume-grafschaft.de/aussteller/grafschafter-volksbank/,2026
H + S Kälte und Klimatechnik GmbH,hs-klima.de,+4959082209560,info@hs-klima.de,"Von-Humboldt-Straße 4a, 49835, Wietmarschen-Lohne, DE",Germany,H + S Kälte und Klimatechnik GmbH,"Kälte und Klimatechnik, die überzeugt. Meisterbetrieb für Planung, Montage & Service, 15 Jahre kumulierte Branchenerfahrung. Ob eine Kälteanlage in der Industrie, ein Kühlraum im Einzelhandel oder die Klimaanlage im Büro oder Zuhause – wir stehen Ihnen in Sachen Kälte- und Klimaanlagen mit Rat und Tat zur Seite, wenn es darum geht, Ihren Bedürfnissen und Anforderungen gerecht zu werden. Gerne beraten wir Sie über die Möglichkeiten und finden gemeinsam eine Lösung, die zu Ihnen passt. Sprechen Sie uns gerne an. Wir lassen niemanden im Kalten stehen… Mit über 15 Jahren Branchenerfahrung stehen wir für durchdachte Planung, fachgerechte Montage und zuverlässigen Service. Unser Anspruch ist es, effiziente und langlebige Lösungen zu realisieren – individuell abgestimmt auf die Anforderungen von Industrie-, Gewerbe- und Privatkunden. Als regionales Unternehmen legen wir großen Wert auf persönliche Beratung, saubere Ausführung und termingerechte Umsetzung. Von der ersten Idee bis zur laufenden Betreuung begleiten wir Ihr Projekt mit Fachkompetenz und Engagement. Als eingespieltes Team garantieren wir Qualität, Zuverlässigkeit und einen direkten Ansprechpartner auf Augenhöhe.",info@hs-klima.de,+4959082209560,"Von-Humboldt-Straße 4a, 49835, Wietmarschen-Lohne, DE",,,https://www.lebenstraeume-grafschaft.de/aussteller/h-s-kaelte-und-klimatechnik-gmbh/,2026
H. Keuter Land- und Gartentechnik,keuter-wietmarschen.de,05925) 99400,,,Germany,H. Keuter Land- und Gartentechnik,"Bei H. Keuter in Wietmarschen bekommt man… …die passende Maschine und das richtige Gerät für jeden Grund und alle Böden. Der Familienbetrieb in dritter Generation ist deshalb die erste Adresse für Gartenfreunde und geschätzter Partner von Landwirten, Forstbetrieben und Kommunen. Unsere Mitarbeiter mit langjähriger Erfahrung sind durch regelmäßige Schulungen immer über den neuesten Stand der Technik informiert und beraten Sie bestens. Durch Probeeinsätze oder Demonstration der Geräte wird garantiert, dass Sie als Kunde das richtige Gerät kaufen.",,05925) 99400,,,,https://www.lebenstraeume-grafschaft.de/aussteller/h-keuter/,2026
HEIM & HAUS Holding GmbH,heimhaus.de,+49 (0) 203 / 40 64 40,,,Germany,HEIM & HAUS Holding GmbH,"HEIM & HAUS ist die Nr. 1 im Direktvertrieb exklusiver Bauelemente und zählt zu den größten Herstellern auf dem deutschen Markt. HEIM & HAUS ist führend in Produkt-, Dienstleistungs- und Beratungsqualität.",,+49 (0) 203 / 40 64 40,,,,https://www.lebenstraeume-grafschaft.de/aussteller/heim-haus-holding-gmbh/,2026
