exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
"AWLA SYNERGY ABADI, PT",awlasynergyabadi.com,081221699929,synergyabadii@gmail.com,"JALAN CIBOLERANG NO.89 BANDUNG, Kota Bandung, Jawa Barat, 40224 Indonesia",Indonesia,"AWLA SYNERGY ABADI, PT",B3 D007,"PT. Awla Synergy Abadi was founded in 2019 by starting its main business is paper importer and distributor. PT. Awla Synergy Abadi also known as ""Synergy Abadi"" and has a flagship product, namely ""ASA Premium Sublimation Paper"". PT. ASA operates by making direct sales to end users and also establish a 'Sales Channel' in some region in Indonesia, in order to establish and maintain a chain of synergistic distribution.",Kota Bandung,
"AZ TECS INDONESIA, PT",,078-303-2501,matsubara@kobex.co.jp,"4-2-12 Minatojima-Minamimachi, Chuo-ku, Kobe-shi, 650-0047, Japan, Kobe, Hyogo, Japan",Indonesia,"AZ TECS INDONESIA, PT",AS 035,・Solvent regenerating equipment ・Parts cleaning equipment ・Solvent deodorizer ・Sale of various solvents (poisonous and poisonous products) ・Development and sale of environmental and labor-saving equipment,,
"BEI LING PESONA ABADI, PT",,+886-4-2359-3830,info@kymc.com,"No.8 Jingke Rd., Nantun Dist., Taichung 408, Taiwan, Taichung, Taichung, Taiwan",Indonesia,"BEI LING PESONA ABADI, PT",AS 018,"Kuen Yuh Machinery Engineering Co., Ltd. (KYMC), founded in 1968, is a premier Taiwan-based manufacturer specializing in high-performance flexographic printing, coating, and laminating machinery for the flexible packaging and converting industries. KYMC will highlight its advanced coating applications seamlessly integrated with inline flexographic printing, empowering converters to streamline production workflows and significantly boost operational efficiency.",,
"BERKAT CEMERLANG MANDIRI, PT (PLANET PRINT)",planetprint.id,(021) 29430560,riyonlau1@gmail.com,"Ruko CIty Garden Block c3 no 9, Jakarta Barat, Kota Jakarta Barat, DKI Jakarta, 11720 Indonesia",Indonesia,"BERKAT CEMERLANG MANDIRI, PT (PLANET PRINT)",B3 E007,Planet Print adalah perusahaan yang bergerak di bidang Digital Printing yang menyediakan bahan baku dan mesin digital printing.,Kota Jakarta Barat,
"BEST COLOUR INDONESIA, PT",,0313822158,salesbestcolourindonesia@gmail.com,"Kawasan Pergudangan dan Industri Safe N Lock F1553, Sidoarjo, Kabupaten Sidoarjo, Jawa Timur, 61234 Indonesia",Indonesia,"BEST COLOUR INDONESIA, PT",B3 K002,Best Colour Indonesia is a Jetbest Corporation's subsidiary company in Indonesia as the largest public listed ink manufacture in Republic of China (RoC) or known as Taiwan. We accommodate the digital printing ink enhancement especially on the South East Asia market.,Kabupaten Sidoarjo,
"BESTINK DAN MESINOKE, PT",,081584534045,admkkbimo@gmail.com,"JL RAWA BAHAGIA RAYA NO.15 GROGOL, JAKARTA BARAT., Kota Jakarta Barat, DKI Jakarta, Indonesia",Indonesia,"BESTINK DAN MESINOKE, PT",B3 K012,"Bestink dan Mesinoke merupakan distributor yang menjual mesin digital printing, tinta, sparepart dan mesin pelengkap lainnya.",Kota Jakarta Barat,
"BFI FINANCE INDONESIA TBK, PT",bfi.co.id,02129650300,promotion@bfi.co.id,"BFI TOWER Jl. Sunburst CBD Jl. Kapten Soebijanto Djojohadikusumo No.Lot. 1, RW.2, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Banten 15322, Kota Tangerang Selatan, Banten, 15322 Indonesia",Indonesia,"BFI FINANCE INDONESIA TBK, PT",C3 F015,"BFI Finance merupakan perusahaan pembiayaan yang berfokus pada pembiayaan dengan beragam tujuan seperti modal kerja, multiguna dan investasi, dengan jaminan berupa kendaraan bermotor roda empat dan roda dua, alat berat dan mesin, serta properti. Saat ini, BFI Finance tumbuh dengan jaringan dan cakupan produk terluas yang didukung oleh lebih dari 200 outlet di seluruh Indonesia. BFI Finance berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK).",Kota Tangerang Selatan,
BINDWEL INDONESIA,,,,,Indonesia,BINDWEL INDONESIA,AS 028,,,
"BINTANG CAKRA KENCANA, PT",,0216506852,arirang.idn@gmail.com,"Jl. Nusantara Timur Block D no.44, Sacna Sunter, Jakarta Utara, Kota Jakarta Utara, DKI Jakarta, 14340 Indonesia",Indonesia,"BINTANG CAKRA KENCANA, PT","AC 006, AD 006","PT. BINTANG CAKRA KENCANA adalah Perusahaan trading yang telah berdiri pada tahun 2004. Perusahaan kami bergerak dengan menyediakan peralatan serta bahan seni grafis di Indonesia. Sedangkan konsep bisnis PT. Bintang Cakra Kencana adalah ""Total Solution! Good Price, Good Quality, & Good Services""",Kota Jakarta Utara,
BINTERJET,,082223636886,sales@binterjet.com,"JL. Sumpah Pemuda No. 111, Jebres, Mojosongo, Surakarta, Kota Surakarta, Jawa Tengah, 57136 Indonesia",Indonesia,BINTERJET,C3 P022,"Binterjet has been involved as a one-stop solution in the garment, textile, and sign graphic (advertising) industry for over 20 years. Binterjet aims to provide the most efficient technical support for after-sales service, specializing in Affordable Premium Solutions. We have been helping more than 5000 clients in home-based production and industrial-level processes to grow further",Kota Surakarta,
"CAHAYA PERMATA DUNIA, PT",,021-29028970,marketing@cpd-inko.com,"The Mansion At Dukuh Golf Kemayoran Tower Fontana Lt.1,Enville, Jl.Trembesi Blok D4Pademangan Timur,Pademangan,Kota ADM,Jakarta Utara,DKI Jakarta, Kota Jakarta Pusat, DKI Jakarta, 14410 Indonesia",Indonesia,"CAHAYA PERMATA DUNIA, PT",AB 020,Distributor Digital Printing,Kota Jakarta Pusat,
"CAIDA MACHINERY IMPORT & EXPORT (GUANGZHOU) CO., LTD.",caidamachinery.com,+86 20 36963067,annatang.caida@gmail.com,"Room 709, No. 66 Yingbin Avenue, Huadu District, Guangzhou, Guangzhou, GUANGDONG, China",China,"CAIDA MACHINERY IMPORT & EXPORT (GUANGZHOU) CO., LTD.",tbc,"Caida Machinery Import & Export (Guangzhou) Co., Ltd. is mainly specialized in a full range of corrugated board equipment, such as carton machine, stitching machine, gluing machine and other machines.",,
"CAKRAWALA MEGA INDAH, PT",,,,,Indonesia,"CAKRAWALA MEGA INDAH, PT",AP 006,,,
CELLO SUKSES BERDAYA,,,,,Indonesia,CELLO SUKSES BERDAYA,C3 B027,,,
"CELLO SUKSES BERDAYA, PT",,021-5679679,celloindo@gmail.com,"Komplek Ruko Grogol Permai Blok D No. 16 & 21, Jl. Prof. Dr. Latumenten Raya, Grogol - Jakarta Barat 11460, Kota Jakarta Barat, DKI Jakarta, Indonesia",Indonesia,"CELLO SUKSES BERDAYA, PT",C3 B027,Distributor Digital Printing,Kota Jakarta Barat,
CENTRAL SPS,,6221 5988008,sales.12@centralsps.com,"Jalan Raya Cukanggalih 1A, Curug, Kabupaten Tangerang, Banten, 15810, Indonesia, Kabupaten Tangerang, Banten, 15810 Indonesia",Indonesia,CENTRAL SPS,"C3 J027 (108), C3 I027 (54)",Digital & Screen Printing Supplier,Kabupaten Tangerang,
"CERAH AUDIO VISUAL TEHNIK, PT",,,,,Indonesia,"CERAH AUDIO VISUAL TEHNIK, PT",C3 N106,,,
"CHUAN TIAN PRINTING SUPPLIES INDONESIA, PT",,0 6 6 8 - 2 0 8 9 3 1 6,ptchuantianprintingsuppliesind@gmail.com,"12thsub-district, Nanhaieasternarea , Dianbai district, Maomingcity, Guangdong,China, Maoming, Guangdong, 525000 China",Indonesia,"CHUAN TIAN PRINTING SUPPLIES INDONESIA, PT",AS 017,"Our product has developed in the field of printing and packaging, dedicated to supplying eco-friendly printing materials. By selecting raw materials such as soybean oil, rosin resin, and organic pigments, the company adheres to ISO9001, ISO14001, and ISO45001 standards for production",,
"CIPTA WARNA SENTOSA (UTAMA RINJANI MULTITRADE, PT)",,0821-2200-1101,customyourbyd@gmail.com,"Jl. Danau Sunter Utara, Blok O-2. No: 5A, RT.10/RW.11, Sunter Jaya, Jakarta, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310, Kota Jakarta Utara, DKI Jakarta, 14310 Indonesia",Indonesia,"CIPTA WARNA SENTOSA (UTAMA RINJANI MULTITRADE, PT)",B3 B015,"PT Cipta Warna Sentosa adalah perusahaan yang bergerak di lini bisnis perdagangan dan distribusi mesin cetak digital dan pemotongan (cutting), beserta jasa layanan pendukungnya. Berikut kami rincikan aktivitas : – Mempasarkan mesin cetak digital dan cutting dari merek internasional – Melayani wilayah Jawa dengan kantor di Jakarta, Semarang, Surabaya, dan Yogyakarta. - Layanan Purna Jual & Technical Support Memberikan layanan instalasi, perawatan, dan support teknis untuk mesin-mesin yang dijual",Kota Jakarta Utara,
"CITRA SUKSES PERSADA, PT",,021-6617746,lisacsp@yahoo.com,"JL.P.TUBAGUS ANGKE (JL.P.WIJAYA KUSUMA) KAV.3 NO.19, Kota Jakarta Utara, DKI Jakarta, Indonesia",Indonesia,"CITRA SUKSES PERSADA, PT",B3 L003,"HEAT TRANSFER LABEL,SILICONE PATCH.TPU EMBOSS",Kota Jakarta Utara,
DATASCRIP,,,,,Indonesia,DATASCRIP,C3 C015,,,
"DATASCRIP, PT",datascrip.com,(021) 6544 515,info@datascrip.co.id,"Gedung Datascrip Kav 9, Jl. Selaparang Blok B-15, RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Kota Jakarta Pusat, DKI Jakarta, Indonesia",Indonesia,"DATASCRIP, PT",C3 C015,"Adalah perusahaan yang memasarkan dan menjual mesin, perangkat digital, furnitur, alat survei, stationery, dan sistem yang dibutuhkan dalam bisnis dan perkantoran.",Kota Jakarta Pusat,
"DCM LASER TECHNOLOGY, PT",visterlaser.com,02122461630,dcmlaser@gmail.com,"JAKARTA GARDEN CITY, RUKAN AVENUE BLOK 8 NO 18, Kota Jakarta Timur, DKI Jakarta, 13910 Indonesia",Indonesia,"DCM LASER TECHNOLOGY, PT",B3 K011,PT DCM LASER TECHNOLOGY SALAH SATU PERUSAHAAN YANG BERGERAK DALAM BIDANG DISTRIBUTOR ATAU PENJUALAN MESIN LASER DAN SPAREPARTS MESIN LASER,Kota Jakarta Timur,
"DGM MEDIA TEKNOLOGI, PT",dgmmediateknologi.com,081395519898,dgm.mediateknologi@gmail.com,"KAWASAN PERGUDANGAN DAN INDUSTRI ARYA ELANG MAS, BLOK F UNIT 10, JALAN RAYA KARET KOTABUMI (JALAN IRIGASI CISADANE BARAT) NO. KAV 28, DESA/KEL PERIUK, KEC. PERIUK, KOTA TANGERANG, BANTEN, 15131., Kabupaten Tangerang, Banten, 15131 Indonesia",Indonesia,"DGM MEDIA TEKNOLOGI, PT",B3 L006,"Kami menyediakan layanan percetakan digital untuk berbagai kebutuhan bisnis, termasuk media promosi seperti, Beach Flag, Backdrop, Bendera Custom dan lain-lain. Kami juga menawarkan layanan konsultasi khusus untuk memastikan setiap proyek sesuai dengan kebutuhan dan anggaran.",Kabupaten Tangerang,
"DIGITAL INDO MAKMUR, PT",innoliteindonesia.com,08979242567,innolite.polyflex.jkt@gmail.com,"Ruko Permata Ancol Blok L No. 27 Jakarta, Kota Jakarta Utara, DKI Jakarta, 14420 Indonesia",Indonesia,"DIGITAL INDO MAKMUR, PT",C3 M007,"Innolite Indonesia, di bawah PT Digital Indo Makmur, adalah pemasok utama di industri sablon digital. Mereka menjual berbagai mesin cetak digital seperti DTF, UV, dan sublimasi, serta menyediakan bahan baku. Sebagai distributor resmi merek terkemuka, mereka juga menawarkan layanan purna jual yang lengkap, termasuk garansi dan dukungan teknis untuk melayani pelanggan di seluruh Indonesia.",Kota Jakarta Utara,
"DING SHENG TECH AND TRANDE, PT",dingsheng.co.id,085326233673/ 0812-8887-0575,dingshengtti@gmail.com,"Jl. Peternakan Raya III No.8, RT.8/RW.1, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Kota Jakarta Barat, DKI Jakarta, Indonesia",Indonesia,"DING SHENG TECH AND TRANDE, PT",B3 F015,,Kota Jakarta Barat,
"DINGXIN PAPER INDONESIA, PT",,081399928688,dingxinpaper@gmail.com,"Jalan Raya Kopo Jalan Bojong Buah Raya No 78 KM 11, Kabupaten Bandung, Jawa Barat, 40921 Indonesia",Indonesia,"DINGXIN PAPER INDONESIA, PT",C3 H037,Berdiri pada tahun 2024 merupakan perusahaan yang bergerak di bidang penjualan kertas sublimasi dan kertas heat transfer. Berkomitmen untuk menyediakan kertas transfer sublimasi produk berkualitas tinggi dengan efek transfer yang luar biasa dan kecepatan transfer yang tinggi. Bekerja secara kolaboratif untuk menghadirkan kepuasan pelanggan dalam setiap layanan telah mendapatkan pengakuan tinggi dari pelanggan kami.,Kabupaten Bandung,
DONGGUAN AOQI PACKING MACHINE,,,,,China,DONGGUAN AOQI PACKING MACHINE,tbc,,,
"DONGGUAN AOQI PACKING MACHINE CO., LTD.",,+86-769-82608990,aq01@aq-folder.com,"No.5, 4th.Donghuan Street , Jitigang, Huangjiang Town, Dongguan City, Dongguan, Guangdong, 523750 China",China,"DONGGUAN AOQI PACKING MACHINE CO., LTD.",tbc,"Founded in 2011, AOQI is a leading manufacturer of leaflet folding machines serving the pharmaceutical, cosmetic, electronics, and other precision-demanding industries in China. With over a decade of dedication, we have successfully delivered countless folding solutions and accumulated deep technical expertise. Our engineering and operations team each bring more than 10 years of hands-on experience, ensuring every project meets the highest standards.",,
DONGGUAN BAOFENGTAI INDUSTRIAL CO. LTD.,,+86-769-87634888,1514588300@qq.com,"Room 101, No. 65 Tonghudi Road, Xiegang Town, Dongguan City, Dongguan, Guangdong, 523590 China",China,DONGGUAN BAOFENGTAI INDUSTRIAL CO. LTD.,tbc,"Baofengtai Industrial Co., Ltd., established in 1998, specializes in the field of chemical products. We are a national high-tech enterprise that integrates research and development, production, sales, and customer service. Our product portfolio includes a wide range of water-based and UV-based coatings and adhesives.Our products are widely applied in industries such as color printing, leather goods, holiday crafts, wooden products, paper packaging, and toys.",,
Dongguan Fengmai Machinery,,,,,China,Dongguan Fengmai Machinery,tbc,,,
"DONGGUAN FENGMAI MACHINERY CO., LTD.",,+86-18819700491,dgfureman@gmail.com,"Building 2, Huayi Industrial Park, No. 20 Dahuan Road, Dalingshan Town, Dongguan City, Guangdong Province,China, Dongguan, Guangdong, China",China,"DONGGUAN FENGMAI MACHINERY CO., LTD.",tbc,"The company mainly produces cardboard box window patching machines, with its main products including high-precision corner-cutting and line-pressing window patching machines, fully automatic high-speed window patching machines, and fully servo high-speed window patching machines.",,
"DONGGUAN GOODSENSE DECORATIVE MATERIAL CO., LTD",,+86-13713310094,info@likebond.cn,"ROOM 301, TOWER 2, NANCHENG COUNTRY GARDEN, NO. 16 STATION ROAD, NANCHENG DISTRICT,, DONGGUAN, GUANGDONG, China",China,"DONGGUAN GOODSENSE DECORATIVE MATERIAL CO., LTD",B3 K019,"Visit Dongguan Goodsense at Booth B3K019, Jakarta Int'l Expo, Indonesia, Oct 7-10. Likebond showcases: Acrylic Sheets: Clear, impact-resistant (signage, displays) Acrylic Mirrors: Light, shatterproof (retail, decor) Aluminum Panels: Weather-resistant (cladding, ads) Durable, versatile, meeting global standards. Likebond: Your Trusted Partner for Premium Decorative Materials.",,
"DONGGUAN GUANGLUN INDUSTRIES CO., LTD",guanglunpaper.com,86-0769-88890703,marco@guanglunpaper.com,"Building A2, No. 173, Beiwang Road, Zhongtang Town,Dongguan City，Guangdong Province, DONGGUAN, GUANGDONG, 523000 China",China,"DONGGUAN GUANGLUN INDUSTRIES CO., LTD",AS 036,"Our products integrate research and development, production, and marketing, and are highly recognized and trusted by customers. Our mission is to maximize customer satisfaction. Whether you are an importer, wholesaler, retailer, agent, distributor, group buyer, production processor, or other OEM procurement customers from anywhere, we will provide the best service and most suitable advice for your business…",,
Dongguan HeRui Automation Equipment,,,,,China,Dongguan HeRui Automation Equipment,tbc,,,
"DONGGUAN HERUI AUTOMATION EQUIPMENT CO., LTD.",dgherui.com,+86-13714023429,richard@dgherui.com,"No.11,Baisha North Road,Baisha Community,Humen Town,c City,Guangdong Province, Guangdong, Guangdong, Guangdong China",China,"DONGGUAN HERUI AUTOMATION EQUIPMENT CO., LTD.",tbc,"Herui --- is a high-tech manufacturing enterprise focusing on improving, improving and optimizing the production process and efficiency of the printing process. The core business is: folding and pasting of color boxes, corrugated boxes, and transparent plastic boxes; platform applications for coding, testing, and special sizing applications; and non-standard automatic customization of the printing process.",,
"DONGGUAN HEYU AUTOMATION CO., LTD.",heyumachine.com,+86-18688647530,heyumachinery@hotmail.com,"NO.1 Xinyuan Road,Baisha Community,Humen Town,Dongguan City,Guangdong,China, Dongguan, Guangdong, 523912 China",China,"DONGGUAN HEYU AUTOMATION CO., LTD.",tbc,Heyu automation is a professional manufacturer of plastic box equipment and a professional supplier providing solutions for PVC/PET/PP film products in China.,,
"DONGGUAN JINCHENG PAPER CO., LTD.",,+86 13790128028,tom@0769wt.com,"Room 201, Building 4, No. 18 Yuehui Road, Daojiao Town, Dongguan City, Guangdong Province, Dongguan, Guangdong, China",China,"DONGGUAN JINCHENG PAPER CO., LTD.",B2 G037,"Dongguan Jincheng Paper Co.,Ltd., established 1998, is Guangdong branch of Hunan Jinjing Paper Mill. With two paper‑making lines, we integrate paper production, PE coating, printing and processing. Our papers serve food‑packing, meal‑box, hardware and electronic packaging.",,
"DONGGUAN JINGNUO ELECTRONIC CO., LTD.",,+86 13823681987,yaowenzn@163.com,"No. 8 Haina Road, Wanjiang District, Dongguan, DONGGUAN, GUANGDONG, China",China,"DONGGUAN JINGNUO ELECTRONIC CO., LTD.",B1 M015,"Jingnuo specializes in manufacturing a full range of high‑precision rubber rollers for the electronics industry. Our products boast excellent properties including high temperature resistance, high pressure resistance, acid and alkali resistance, corrosion resistance, solvent resistance, wear resistance, anti‑static performance, and environmental protection and energy saving.",,
"DONGGUAN KEQI AUTOMATION EQUIPMENT CO., LTD",en.keqi-auto.com,+86-769- 8162 3860,wsb@keqi-auto.com,"No.8, Jinniu Street, Taigongling, Dalingshan, Dongguan City, Guangdong 523820 China, Dongguan, Guangdong, 523820 China",China,"DONGGUAN KEQI AUTOMATION EQUIPMENT CO., LTD",tbc,"Since 2008, KQ Automation has been a leading supplier of advanced dispensing and surface treatment solutions. Our product range includes cold glue and hot melt dispensing systems, glue detection systems, plasma surface treatment equipment, double-sided tape application machines, and more. With a team of over 200+ highly skilled professionals, we combine deep industry expertise with advanced R&D capabilities and rigorous quality inspections. ﻿",,
"Dongguan kjnmatech co., ltd.",kjnmatech.com,13825798369,kjnew@kjn86.com,"Room 101, No.31 Xinnong Road,Nancheng Street, Dongguan City, Guangdong Province, China, 东莞市, 广东省, China",China,"Dongguan kjnmatech co., ltd.",B1 D015,"Self adhesive paper, Release paper, label sticker",,
"DONGGUAN MORECOLOR NEW MATERIALS CO., LTD.",morecolorink.com,+86 13326893080,ada@morecolorink.com,"Room 401,Building 11,Building 5, Sima Environmental Protction IndustrialRoad, Changping Town, Dongguan city,China., Dongguan, Guangdong, China",China,"DONGGUAN MORECOLOR NEW MATERIALS CO., LTD.",B2 G036,"Manufacturer of DTF ink, DTG ink，pigment ink, heat transfer printing consumables.",,
"DONGGUAN SPT LASER TECHNOLOGY CO., LTD",sptlaser.com,+86 189 38288008,info@laserwd.com,"3201, Dongjiang Star Commercial Center, No.8 Hongfu West Road, Wanjiang District,, Dongguan, Guangdong, China",China,"DONGGUAN SPT LASER TECHNOLOGY CO., LTD",B3 H009,"SPT Laser technology has been focused on R&D and production of CO2 laser tube for over 10 years. Under the driving of "" stability at the core"", we have been working hard to deliver the same quality product time to time. The laser tube: C series, the best-selling product since SPT laser is built. T series, the best choice for who wants to have sharper cutting edge and engraving lines. TR series, upgraded from T series, the built-in red-dot makes laser alignment much quicker and safer.",,
"DONGGUAN WANLIN PACKAGING MATERIAL CO., LTD.",,0086 15017185167,michael@wlpackmate.com,"#106,Beiwang road,Zhongtang Town,Dongguan City, China, Dongguan, Guangdong, China",China,"DONGGUAN WANLIN PACKAGING MATERIAL CO., LTD.",B2 F031,"PAPERBOARD,PAPER,PACKAGING GLUE,TAPE, OTHER PACKAGING MATERIAL",,
"DONGGUAN XINCAI PACKAGING MATERIALS CO., LTD",dgxincai.com,0769-86666202,84894815@qq.com,"7 Chunfeng West second Street, Tielukeng Village,Qishi,Dongguan, Guangdong, China, DONGGUAN, guangdong, 523000 China",China,"DONGGUAN XINCAI PACKAGING MATERIALS CO., LTD",B2 E012,"It is a specialized adhesive product enterprise that integrates inkjet printing materials, paper label materials, ordinary films, functional films, UV inkjet printing materials, laser printing materials, adhesive tapes, environmentally friendly degradation production and sales. The company's independent brands include ""Xincaiyang"" and ""DGXINCAI"".",,
