company_name,domain,description,booth,email,city,full_address,mobile_primary
"Faszination Technik - Swissmechanic, Sektion Graubünden",gr.swissmechanic.ch,Training and career areas: Anlagen- und Apparatebauer/in EFZ; Automatiker/in EFZ; Automatikmonteur/in EFZ; Konstrukteur/in EFZ; Kunststoffpraktiker/in EBA; Kunststofftechnologe/-login EFZ; Mechanikpraktiker/in EBA; Polymechaniker/in EFZ; Produktionsmechaniker/in EFZ,,,,Swissmechanic Freihofstrasse 2 7302 Landquart,+41813226173
feusuisse,feusuisse.ch,Training and career areas: Ofenbauer/in EFZ,,info@feusuisse.ch,,feusuisse Froburgstrasse 266 4634 Wisen,+41%2062 205 90 80
FH Graubünden,hftgr.ch,,,,,,+41818510606
"FH Graubünden, Institut für Tourismus und Freizeit ITF",campus-graubuenden.ch,"Training and career areas: Tourism and Change, Master of Science; Tourismus FH, Bachelor of Science BSc",,mailtol:info@ahb.ch,,"FH Graubünden, Institut für Tourismus und Freizeit ITF Comercialstrasse 19 7000 Chur",
Fleisch-Fachverband Graubünden,ffv-gr.ch,Training and career areas: Fleischfachassistent/in EBA; Fleischfachmann/-frau EFZ,,praesident@ffv-gr.ch,,Gulfiastrasse 38 7252 Klosters Dorf,+41816641107
Flury Stiftung,oda-gs-gr.ch,,,,,,
Föllmi ICT AG,foellmiag.ch,Training and career areas: ICT-Fachmann/-frau EFZ; Informatiker/in EFZ,,info@foellmiag.ch,,Föllmi ICT AG Bahnhofstrasse 17 7323 Wangs,+41817106565
"Gebäudehülle Schweiz, Sekt. GR",,Training and career areas: Abdichter/in EFZ; Abdichtungspraktiker/in EBA; Dachdecker/in EFZ; Dachdeckerpraktiker/in EBA; Fassadenbauer/in EFZ; Fassadenbaupraktiker/in EBA; Gerüstbauer/in EFZ; Gerüstbaupraktiker/in EBA,,,,"Gebäudehülle Schweiz, Sekt. GR Meli AG Gebäudehüllen, Ringstrasse 14 7000 Chur",
geosuisseGR / Ingenieur-Geometer Graubünden,,Training and career areas: Geomatiker/in EFZ,,,,InfraDigital AG Prättigauerstrasse 34 7302 Landquart,
Graubünden Holz - Plattform Holzkette,graubuendenholz.ch,,,info@graubuendenholz.ch,,Graubünden Holz Bahnhofplatz 1 7302 Landquart,+41 (0)81 300 22 30
Graubündner Kantonalbank,report.gkb.ch,,,pr@gkb.ch,,,0041812568311
Graubündnerischer Baumeisterverband,gbv.ch,Training and career areas: Bauwerktrenner/in EFZ; Betonwerker/in EFZ; Gleisbauer/in EFZ; Gleisbaupraktiker/in EBA; Grundbauer/in EFZ; Grundbaupraktiker/in EBA; Industrie- und Unterlagsbodenbauer/in EFZ; Industrie- und Unterlagsbodenbaupraktiker/in EBA; Maurer/in EBA; Maurer/in EFZ; Pflästerer/Pflästerin EFZ; Steinmetz/in EFZ; Steinsetzer/in EBA; Strassenbauer/in EFZ; Strassenbaupraktiker/in EBA; Bauführer/in (HFP); Baumeister/in HFP; Baupolier/in mit eidg. FA; Bauvorarbeiter/-in mit eidg. FA; Fachspezifische Weiterbildungen Bauberufe,,gbv@gbv.ch,,"Graubündnerischer Baumeisterverband, GBV Comercialstrasse 20 7000 Chur",+41 81 257 08 08
Hamilton AG,lehre-hamilton.ch,Training and career areas: Automatiker/in EFZ; Automatikmonteur/in EFZ; Elektroniker/in EFZ; Entwickler/in digitales Business EFZ; Informatiker/in EFZ; Kaufmann/-frau EFZ; Konstrukteur/in EFZ; Logistiker/in EFZ; Polymechaniker/in EFZ; Produktionsmechaniker/in EFZ,,lehre@hamilton.ch,,Hamilton AG Via Crusch 8 7402 Bonaduz,
Hello Career | KV Treuhand/Immobilien | OKGT,oba-sg.ch,,,,,,
"Holzbau Schweiz, Sektion GR (HBS GR)",holzbau-gr.ch,"Training and career areas: Holzbearbeiter/in EBA; Zimmermann/Zimmerin EFZ; dipl. Techniker/-in HF Holztechnik; Dipl. Techniker/in HF Holztechnik, Vertiefung Holzindustrie/Handel; Holzbau-Meister/-in (HFP); Holzbau-Polier/-in mit eidg. FA; Holzbau-Vorarbeiter/-in mit eidg. FA; Holzingenieur/in FH",,,,"Holzbau Schweiz, Sektion Graubünden Bahnhofplatz 1 7302 Landquart",
Holzindustrie Schweiz Regionalverband Graubünden (HIS GR),,"Training and career areas: Holzbearbeiter/in EBA; Holzindustriefachmann/-frau EFZ; Dipl. Techniker/in HF Holztechnik, Vertiefung Holzindustrie/Handel; Holzfachmann/-frau mit eidg. Fachausweis, Fachrichtung Holzkaufmann/-frau (BP)",,,,HIS Regionalverband Graubünden Veia Tgampi 17 7460 Savognin,
Höhere Fachschule für Sozialpädagogik,campus-graubuenden.ch,"Training and career areas: Sozialpädagoge/-in HF, dipl.",,mailtol:info@ahb.ch,,Kantonsstrasse 8 7205 Zizers,
Höhere Fachschule für Tourismus und Management HFT,campus-graubuenden.ch,Training and career areas: Dipl. Tourismusfachleute HF; Marketingfachleute mit eidg. FA,,mailtol:info@ahb.ch,,Höhere Fachschule für Tourismus und Management HFT Quadratscha 18 7503 Samedan,
Höhere Wirtschaftsschule Graubünden (HWSGR),hwsgr.ch,,,info@hwsgr.ch,,HWSGR - Höhere Wirtschaftsschule Graubünden Comercialstrasse 23 7000 Chur,081 258 40 00
ibW Höhere Fachschule Südostschweiz,ibw.ch,"Training and career areas: AI Business Specialist mit eidg. FA; Automobildiagnostiker/-in mit eidg. FA; Bau-Polier/-in mit eidg. FA; Bauvorarbeiter/-in mit eidg. FA; Chefmonteur/-in Sanitär mit eidg. FA; Coiffeuse/Coiffeur mit eidg. FA; Digital Collaboration Specialist mit eidg. FA; Dipl. Applikationsentwickler/-in NDS HF; Dipl. Betriebswirtschafter/-in HF; Dipl. Energie- und Umwelttechniker/-in HF; Dipl. Finanzplanungsexperte/-in NDS HF; Dipl. Förster/-in HF; Dipl. Gebäudeautomatiker/-in HF; Dipl. Gebäudetechniker/in HF; Dipl. Holztechniker/-in HF Holzbau; Dipl. Holztechniker/-in HF Schreinerei / Innenausbau; Dipl. in Innovations- und Transformationsmanagement NDS HF; Dipl. in IT Security und Risk Management NDS HF; Dipl. in Krisen- und Risikomanagement NDS HF; Dipl. in Marketing und Sales Management NDS HF; Dipl. in Projekt- und Prozessmanagement NDS HF; Dipl. in Unternehmensführung NDS HF; Dipl. Informatiker/-in HF; Dipl. Produktdesigner/-in HF; Dipl. Rechtsfachfrau/-mann HF; Dipl. Systemtechniker/-in HF; Dipl. Techniker/-in HF Bauplanung, Ingenieurbau; Dipl. Techniker/-in HF Bauplanung, Schwerpunkt Innenarchitektur; Dipl. Wirtschaftsinformatiker/-in HF; eidg. dipl. Coiffeuse; Elektroprojektleiter/-in Installation und Sicherheit mit eidg. FA; Elektroprojektleiter/-in Planung mit eidg. FA; Energieberater/-in Gebäude mit eidg. FA; Fachfrau/-mann Treuhand und Beratung mit eidg. FA; Fachleute im Finanz- & Rechnungswesen mit eidg. FA; Fachleute öffentliche Verwaltung mit eidg. FA; Finanzplaner/-in mit eidg. FA; Forstmaschinenführer/-in mit eidg. FA; Forstwart-Vorarbeiter/-in mit eidg. FA; Hauswart/-in mit eidg. FA; Holzbau-Meister/-in (HFP); Holzbau-Polier/-in mit eidg. FA; Holzbau-Vorarbeiter/-in mit eidg. FA; HR-Fachleute mit eidg. FA; Logistikfachleute mit eidg. FA; Marketingfachleute mit eidg. FA; Projektleiter/-in Gebäudeautomation mit eidg. FA; Projektleiter/-in Schreinerei mit eidg. FA; Seilkran-Einsatzleiter/-in mit eidg. FA; Sozialversicherungsfachleute mit eidg. FA; Techniker/in HF Elektrotechnik, dipl.; Technische Kaufleute mit eidg. FA; Verkaufsfachleute mit eidg. FA; Versicherungsfachleute mit eidg. FA; Wirtschaftsinformatiker/-in mit eidg. FA",,info@ibw.ch,,ibW Höhere Fachschule Südostschweiz Gürtelstrasse 44 7000 Chur,+41814033333
Interessengemeinschaft Anlagen- & Apparatebauer/in,igaab.ch,Training and career areas: Anlagen- und Apparatebauer/in EFZ,,info@igaab.ch,,"Interessengemeinschaft Anlagen- & Apparatebauer/in c/o anplaq ag, Rheinstrasse 5a 7015 Tamins",
Interessensgemeinschaft Pflegeheime,,"Training and career areas: Assistent/in Gesundheit und Soziales EBA; Fachmann/-frau Gesundheit EFZ; Aktivierungsfachmann/-frau HF, dipl.; Fachmann/-frau Langzeitpflege und -betreuung mit eidg. Fachausweis (BP); Pflegefachfrau/-mann, FH; Pflegefachmann/-frau HF, dipl.",,,,,
Jardin Grischun,jardinsuisse.ch,Training and career areas: Gärtner/in EBA; Gärtner/in EFZ,,,,JardinGrischun Hinterm Bach 40 7000 Chur,
Kanton Graubünden,gr.ch,Training and career areas: Agrarpraktiker/in EBA; Automobil-Assistent/in EBA; Automobil-Fachmann/-frau EFZ; Automobil-Mechatroniker/in EFZ; Entwickler/in digitales Business EFZ; Fachmann/-frau Betriebsunterhalt EFZ; Fachmann/-frau Hotellerie-Hauswirtschaft EFZ; Fachmann/-frau Information und Dokumentation EFZ; ICT-Fachmann/-frau EFZ; Informatiker/in EFZ; Kaufmann/-frau EFZ; Koch/Köchin EFZ; Küchenangestellte/r EBA; Laborant/in EFZ; Landwirt/in EFZ; Milchtechnologe/-login EFZ; Obstfachmann/-frau EFZ; Praktiker/in Hotellerie-Hauswirtschaft EBA; Unterhaltspraktiker/in EBA; Weinfachmann/-frau EFZ; Zeichner/in EFZ,,,,Personalamt Graubünden Steinbruchstrasse 18 7000 Chur,
Kantonspolizei Graubünden,gr.ch,Training and career areas: Polizist/in mit eid. Fachausweis (BP),,,,Kantonspolizei Graubünden,
Kantonsspital Graubünden,ksgr.ch,,,,,,
Kinderbetreuung Graubünden,kinderbetreuung-gr.ch,Training and career areas: Fachmann/-frau Betreuung EFZ,,info@kinderbetreuung-gr.ch,,Fachverband Kinderbetreuung Graubünden Reichsgasse 25 7000 Chur,+41784800187
Klinikgruppe Valens,valens.ch,"Training and career areas: Assistent/in Gesundheit und Soziales EBA; Fachmann/-frau Betriebsunterhalt EFZ; Fachmann/-frau Gesundheit EFZ; Fachmann/-frau Hotellerie-Hauswirtschaft EFZ; Hotel-Kommunikationsfachmann/-frau EFZ; Informatiker/in EFZ; Kaufmann/-frau EFZ; Koch/Köchin EFZ; Medizinische/r Praxisassistent/in EFZ; Diätkoch/-köchin, BP; Ergotherapie FH, Bachelor of Science BSc; Ernährung und Diätetik FH, Bachelor of Science BSc; Logopädin/ Logopäde, FH; Pflegefachfrau/-mann, FH; Pflegefachmann/-frau HF, dipl.; Physiotherapie FH, Bachelor of Science BSc; Soziale Arbeit FH, Bachelor of Science BSc",,info@kliniken-valens.ch,,Taminaplatz 1 7317 Valens,41585111111
Kulturbühne,visarte-graubuenden.ch,,,,,Visarte Graubünden Wiesentalstrasse 44 7000 Chur,
KUNSTSTOFF.swiss,kunststoffberufe.ch,Training and career areas: Kunststoffpraktiker/in EBA; Kunststofftechnologe/-login EFZ,,info@kunststoff.swiss,,KUNSTSTOFF.swiss – Der Verband der Schweizer Kunststoffindustrie Schachenallee 29C 5000 Aarau,+41628340060
lehre-gr.ch,lehre-gr.ch,,,,,Mediadschungel GmbH Tardisstrasse 199 7205 Zizers / Landquart,
login Berufsbildung AG,scuolaprofessionale.ch,,,info@scuolaprofessionale.ch,,,+41818440535
Metaltec Graubünden,gr.metaltecsuisse.ch,Training and career areas: Metallbauer/in EFZ; Metallbaukonstrukteur/in EFZ; Metallbaupraktiker/in EBA,,,,Herawisweg 18 7203 Trimmis,
Milchtechnologen,milchtechnologe.ch,Training and career areas: Milchpraktiker/in EBA; Milchtechnologe/-login EFZ,,info@smv-ssil.ch,,Plantahof Kantonsstrasse 17 7302 Landquart,+41313113182
MMTS MultimediaTec Swiss,mmts.ch,Training and career areas: Detailhandelsfachmann/-frau EFZ; Multimediaelektroniker/in EFZ,,info@vsrt.ch,,"MMTS Sektion GR, EP: Bernhard Kasernensstrasse 97 7000 Chur",032 654 20 20
Netzwerk Kleinstberufe,kleinstberufe.ch,Training and career areas: Fachmann/-frau Textilpflege EFZ; Holzbildhauer/in EFZ; Holzhandwerker/in EFZ; Korb- und Flechtwerkgestalter/in EFZ; Küfer/in EFZ,,,,Netzwerk Kleinstberufe Weiernstrasse 24 8355 Aadorf,+41313102017
OdA Gesundheit und Soziales Graubünden,oda-gs-gr.ch,"Training and career areas: Assistent/in Gesundheit und Soziales EBA; Fachmann/-frau Betreuung EFZ; Fachmann/-frau Gesundheit EFZ; Medizinproduktetechnologe/-login EFZ; Aktivierungsfachmann/-frau HF, dipl.; Arbeitsagogin/-agoge FA; Berater/in Frühe Kindheit (HFP); Biomedizinische/r Analytiker/in HF, dipl.; Blindenführhundeinstruktor/in (HFP); Ergotherapie FH, Bachelor of Science BSc; Ernährung und Diätetik FH, Bachelor of Science BSc; Experte/Expertin Bewegungs- und Gesundheitsförderung, HFP; Experte/Expertin in Gesundheitsinstitutionen, HFP; Experte/in Anästhesie-/Intensiv-/Notfallpflege, NDS HF; Fachexperte/-expertin für Infektionsprävention, HFP; Fachexperte/-expertin in Diabetesfachberatung (HFP); Fachexperte/-expertin in geriatrischer und psychogeriatrischer Pflege, HFP; Fachexperte/-expertin in Palliative Care, HFP; Fachexperte/-expertin Nephrologiepflege, HFP; Fachexperte/-expertin Onkologiepflege, HFP; Fachexperte/-expertin Psychiatriepflege, HFP; Fachexperte/-expertin Respiratory Care; Fachexperte/Fachexpertin Operationsbereich; Fachmann/-frau Langzeitpflege und -betreuung mit eidg. Fachausweis (BP); Fachmann/-frau Operationstechnik HF, dipl.; Fachmann/-frau psychiatrischer Pflege und Betreuung mit eidg. Fachausweis (BP); Gemeindeanimator/in HF, dipl.; Hebamme FH, Bachelor of Science BSc; Job Coach/in Arbeitsorganisation; Kindheitspädagoge/-in HF, dipl.; Komplementärtherapeut/in, HFP; Leiter/in Arbeitsagogik HF, dipl.; Leiter/in von sozialen und sozialmedizinischen Organisationen (HFP); Logopädin/ Logopäde, FH; Medizinische/r Kodierer/in; Medizinische/r Masseur/in mit eidg. Fachausweis (BP); Medizinische/r Praxiskoordinator/in mit eidg. Fachausweis (BP); Migrationsfachmann/-frau mit eidg. Fachausweis; Naturheilpraktiker/in; Pflegefachfrau/-mann, FH; Pflegefachmann/-frau HF, dipl.; Physiotherapie FH, Bachelor of Science BSc; Radiologiefachmann/-frau HF, dipl.; Rehabilitationsexperte/in für sehbehinderte und blinde Menschen (HFP); Rettungssanitäter/in HF, dipl.; Sicherheitsspezialist/in in Institutionen des Gesundheits- und Sozialwesens; Sozialbegleiter/in mit eidg. Fachausweis; Soziale Arbeit FH, Bachelor of Science BSc; Sozialpädagoge/-in HF, dipl.; Spezialist/in Bewegungs- und Gesundheitsförderung; Spezialist/in für angewandte Kinästhetik mit eidg. Fachausweis (BP); Spezialist/in für die Begleitung von Menschen mit Beeinträchtigungen mit eidg. Fachausweis; Supervisor/in Coach / Organisationsberater/in (HFP); Teamleiter/in in sozialen und sozialmedizinischen Organisation mit eidg. Fachausweis",,,,Gäuggelistrasse 7 7000 Chur,
PH Graubünden,campus-graubuenden.ch,"Training and career areas: Bachelorstudium Kindergarten und Primarschule (1. - 2.); Bachelorstudium Primarschule (1. -6.); Deutsch als Zweitsprache DAZ, CAS; Kunst - Kunstvermittlung, CAS; Masterstudium Schulische Heilpädagogik; Masterstudium Sekundarstufe I für Personen mit Fachbachelor; Masterstudium Sekundarstufe I für Primarlehrpersonen (Stufenerweiterung); Masterstudium Sekundarstufe I und Maturitätsschulen für Personen mit Fachmaster; Schulleitung, CAS",,mailtol:info@ahb.ch,,Scalärastrasse 17 7000 Chur,
Plantahof,suedost.agrotecsuisse.ch,Training and career areas: Agrarpraktiker/in EBA; Landwirt/in EFZ; Bäuerin / bäuerlicher Haushaltsleiter FA; Betriebsleiter/Betriebsleiterin Landwirtschaft FA; Meisterlandwirt/in HFP,,,,LBBZ Plantahof Kantonsstrasse 17 7302 Landquart,
Psychiatrische Dienste Graubünden,pdgr.ch,Training and career areas: Fachmann/-frau Betreuung EFZ; Fachmann/-frau Betriebsunterhalt EFZ; Fachmann/-frau Gesundheit EFZ; Fachmann/-frau Hotellerie-Hauswirtschaft EFZ; Florist/in EFZ; Gärtner/in EFZ; Informatiker/in EFZ; Kaufmann/-frau EFZ; Koch/Köchin EFZ,,info@pdgr.ch,,Psychiatrische Dienste Graubünden Loestrasse 220 7000 Chur,+41-58-225-25-25
Q-Bix / Blue Cocktail Bar,blaueskreuz.gr.ch,,,,,Blaues Kreuz Graubünden Alexanderstrasse 42 7000 Chur,+41812524341
Repower AG,repower.com,Training and career areas: Automatiker/in EFZ; Automatikmonteur/in EFZ; Elektroplaner/in EFZ; Logistiker/in EFZ; Polymechaniker/in EFZ; Produktionsmechaniker/in EFZ,,,,Repower AG Bahnhofplatz 3A 7302 Landquart,
Rhätische Bahn AG,rhb.ch,Training and career areas: Anlagen- und Apparatebauer/in EFZ; Automatiker/in EFZ; Detailhandelsfachmann/-frau EFZ; Entwickler/in digitales Business EFZ; Fachmann/-frau öffentlicher Verkehr EFZ; Gleisbauer/in EFZ; Informatiker/in EFZ; Logistiker/in EFZ; Netzelektriker/in EFZ; Polymechaniker/in EFZ; Erwachsenenlehre Gleisbauer/in; Erwachsenenlehre Netzelektriker/in; Quereinstieg Lokführer/in; Quereinstieg Zugbegleiter/in; Quereinstieg Zugverkehrsleiter/in,,,,Rhätische Bahn AG Bahnhofstrasse 25 7001 Chur,
Schweizer Armee - Chance Armee / Lehrberufe Armee,armee.ch,Training and career areas: Fachmann/-frau Betriebsunterhalt EFZ; Koch/Köchin EFZ; Logistiker/in EFZ; Strassentransportfachmann/-frau EFZ,,,,Schweizer Armee Militärflugplatz 8600 Dübendorf,
Schweizerischer Verband für Kältetechnik,cool-clever.ch,Training and career areas: Kältemontage-Praktiker/in EBA; Kältesystem-Monteur/in EFZ; Kältesystem-Planer/in EFZ,,info@svk.ch,,"Schweizerischer Verband für Kältetechnik, SVK Eichistrasse 1 6055 Alpnach Dorf",+41416703045
SFB Sektion Zürich mit angeschlossenen Kantonen und Fürstentum Liechtenstein,betriebsunterhalt.ch,Training and career areas: Fachmann/-frau Betriebsunterhalt EFZ; Unterhaltspraktiker/in EBA,,infoschweiz@betriebsunterhalt.ch,,"Schweizerischer Fachverband Betriebsunterhalt, SFB Ernst Müller-Strasse 7 8207 Schaffhausen",
Spitex Graubünden,spitexgr.ch,"Training and career areas: Assistent/in Gesundheit und Soziales EBA; Fachmann/-frau Gesundheit EFZ; Pflegefachfrau/-mann, FH; Pflegefachmann/-frau HF, dipl.",,spitex@bsh-gr.ch,,"Bündner Spital- und Heimverband, Bereich Spitex Engadinstrasse 33 7000 Chur",
Sprecher Security GmbH,sprecher-security.com,Training and career areas: Sicherheitsfachmann/-frau (BP),,info@sprecher-security.ch,,Sprecher Security GmbH Rheinstrasse 5 7015 Tamins,
Stadtpolizei Chur,search.ch,Training and career areas: Polizist/in mit eid. Fachausweis (BP),,,,,
