company_name,domain,description,booth,email,city,full_address,mobile_primary
FENSTER RACHBAUER,fenster-rachbauer.at,"Warensortiment: Fenster , Türen , Sonnenschutz",,office@fenster-rachbauer.at,Ried im Innkreis,"4910, Ried im Innkreis",+436648548078
FLIESEN HUEMER GmbH,fliesen-huemer.at,Warensortiment: Fliesen,,,Regau,"4844, Regau",
FOX Boden GmbH,fox.at,"Warensortiment: Bodenbeläge , Holzböden , Treppen , Teppiche",,office@fox.at,Neuhofen im Innkreis,"4912, Neuhofen im Innkreis",+437752702220
FRANZESKO Stein mit System GmbH,stein-franzesko.at,"Warensortiment: Naturstein , Terrassenbeläge , Balkonbelege , Fensterbänke , Küchenarbeitsplatten",,%20office@franzesko.at,Pram,"4742, Pram",%20+43%207732%2045145
FRAUSCHER Ferdinand,wohnkeramik.at,Warensortiment: Fliesen,,office@wohnkeramik.at,Höhnhart,"5251, Höhnhart",+43 7755 / 51 30
FRÖLING,froeling.com,"Warensortiment: Heizungen - Holz , Heizungen - Biomasse , Heizungen - Hackschnitzel , Heizungen - Pellets",,,Grieskirchen,"4710, Grieskirchen",
FÜHRER Holzbau GmbH,fuehrer-holzbau.at,"Warensortiment: Sanierung , Häuser - Holzhäuser , Wintergärten , Terrassenüberdachungen",,,Aspach,"5252, Aspach",
G & S HandelsgmbH DICHTUNGSPROFI,dichtungsprofi.at,"Warensortiment: Fensterdichtungen , Abdichtungen , Fenstersanierung , Türsanierungen",,office@dichtungsprofi.at,Eferding,"4070, Eferding",+4372727166
GENBÖCK HAUS – Genböck & Möseneder GmbH,genboeck.at,"Warensortiment: Bauunternehmen , Häuser - Holzhäuser , Häuser - Niedrigenergiehäuser , Häuser - Passivhäuser , Häuser - Fertighäuser",,info@genboeck.at,Haag am Hausruck,"4680, Haag am Hausruck",0043773236510
GERAUER GmbH,gerauer.at,"Warensortiment: Glas/Verglasungen , Insektenschutz , Terrassenüberdachungen , Sonnenschutz",,info@gerauer.at,Schardenberg,"4784, Schardenberg",+436505611223
GITTMAIER GmbH,gittmaier.at,"Warensortiment: Bodenbeläge , Terrassenbeläge , Inneneinrichtungen , Türen",,office@gittmaier.at,Ried im Innkreis,"4910, Ried im Innkreis",07752/82391
GLAS Tischlerei GmbH,tischlerei-glas.at,"Warensortiment: Möbel , Tischlerei , Türen , Küchen",,office@tischlerei-glas.at,St. Aegidi,"4725, St. Aegidi",+4377177410
GREIL BAU GmbH,greilbau.at,"Warensortiment: Häuser , Bauunternehmen , Planung , Zimmerei",,office@greilbau.at,St. Martin im Innkreis,"4973, St. Martin im Innkreis",07751 82 39 0
GROSSBÖTZL Baumschule-Gartengestaltung GmbH,grossboetzl.com,"Warensortiment: Gartengestaltung , Garten",,bssvpr@x-tebffobrgmy.ng,Ort im Innkreis,"4974, Ort im Innkreis",+43775183170
GRÜNBECK AG,gruenbeck.de,"Warensortiment: Wasseraufbereitung , Whirlpools",,info@gruenbeck.de,Höchstädt,"89420, Höchstädt",+49 9074 41-0
GUNTAMATIC Heiztechnik,guntamatic.com,"Warensortiment: Heizungen - Holz , Heizungen - Biogas , Heizungen - Hackschnitzel , Heizungen - Pellets",,office@guntamatic.com,Peuerbach,"4722, Peuerbach",+43727624410
GUSCHLBAUER GmbH,guschlbauer.at,Warensortiment: Süßwaren,,,St. Willibald,"4762, St. Willibald",
HABERL Massivholztüren – Markus Haberl e.U.,haberltueren.at,"Warensortiment: Tischlerei , Türen",,office@haberltueren.at,Nußdorf,Oberdorf 13 4865 Nußdorf am Attersee,+4376668062
HANSEL.Kraus Metalltechnik GmbH,hansel.co.at,"Warensortiment: Tore , Balkone , Zäune , Terrassenüberdachungen",,info@hansel.co.at,Friedburg,"5211, Friedburg",+43774628577
HARGASSNER Ges mbH,hargassner.at,"Warensortiment: Heizungen - Holz , Heizungen - Biomasse , Heizungen - Hackschnitzel , Heizungen - Pellets , Heizungen - Wärmepumpen",,,Weng,"4952, Weng",+4377235274
HARTL HAUS Holzindustrie GmbH,hartlhaus.at,"Warensortiment: Tischlerei , Küchen , Häuser - Fertighäuser",,info@hartlhaus.at,Echsenbach,"3903, Echsenbach",+43 2849 8332-0
HEIM & HAUS – Vertriebsges. für Kunststofffenster u. -rolläden mbH,heimhaus.de,"Warensortiment: Markisen , Rollläden , Fenster , Überdachungen",,,Lauf,"91207, Lauf",+49 (0) 203 / 40 64 40
HIAG Balkonbau GmbH,balkone.at,"Warensortiment: Sanierung , Balkone , Zäune",,info@balkone.at,Nußdorf-Debant,"9990, Nußdorf-Debant",+43485264164
HIRTH Gesellschaft m.b.H.,hirth.eu,Warensortiment: Terrassen,,,Groß Siegharts,"3812, Groß Siegharts",+4328472253
HOLZBAU-MEISTER Rauchenecker & Partner GmbH,holzbau-meister.at,"Warensortiment: Bauunternehmen , Häuser - Fertighäuser , Generalunternehmer",,office@holzbau-meister.at,Antiesenhofen,"4980, Antiesenhofen",2025-10-20
HUBER BAU GmbH,huber-bau.at,"Warensortiment: Häuser , Hallenbau , Sanierung , Bauunternehmen",,%20office@huber-bau.at,Eberschwang,"4906, Eberschwang",%20+437753250825
HYLA,mein-gesundes-leben.com,"Warensortiment: Reinigung , Reinigungsprodukte",,harald-ecker@gmx.at,Mauthausen,"4310, Mauthausen",+436609460113
HYPO OBERÖSTERREICH,hypo.at,"Warensortiment: Finanzierung , Förderungen , Wohnbauförderung , Sanierung",,office@hypo.at,Linz,"4010, Linz",+4373276390
HÖRMANSEDER DIE WINTERGARTENBAUER GmbH,diewintergartenbauer.at,"Warensortiment: Fenster , Wintergärten , Terrassenüberdachungen , Sonnenschutz",,info@die-wintergartenbauer.at,Haag am Hausruck,"4680, Haag am Hausruck",+43 7732 47913
HÖRMANSEDER GmbH,hoermanseder-bau.at,"Warensortiment: Häuser , Hallenbau , Dächer",,office@hoermanseder-bau.at,Haag am Hausruck,"4680, Haag am Hausruck",+43 7732 2290
HÖRMANSEDER Stefan Hafnermeister,hoermanseder.co.at,"Warensortiment: Heizungen - Heizkamine , Heizungen - Kachelöfen , Herde , Öfen",,bssvpr@ubreznafrqre.pb.ng,Zell an der Pram,"4755, Zell an der Pram",+4377646149
ILLUMINA Licht & Service GmbH,illumina.at,"Warensortiment: Lichttechnik , Planung",,office@illumina.at,Ried im Innkreis,"4910, Ried im Innkreis",0043775287778
INFINA – Die Wohnbau-Finanz-Experten,infina.at,Warensortiment: Finanzierung,,office@infina.at,Ort im Innkreis,Brixner Straße 2/4 6020 Innsbruck T +43 512 584380 office@infina.at,+43 512 584 380
INNVIERTLER OFENBAU Anton Lischka,innviertler-ofenbau.at,"Warensortiment: Kamine , Fliesen , Heizungen - Heizkamine , Heizungen - Kachelöfen",,of%66i%63e@innvie%72t%6Cer-of%65nbau.a%74,Taiskirchen,"4753, Taiskirchen",00436607707891
J. LEDERHILGER GmbH,lederhilger.co.at,"Warensortiment: Türen , Bäder , Treppen , Küchen",,,Sipbachzell,"4621, Sipbachzell",
JARADESIGN e.U.,jaradesign.at,"Warensortiment: Terrassen , Terrassenverbauten , Gartengestaltung , Terrassenbeläge",,offi%63e%40jarade%73%69%67n%2Eat,Schardenberg,"4784, Schardenberg",00436642101800
KASBERGER PETER Baustoff GmbH,kasberger-baustoffe.at,"Warensortiment: Kamine , Baustoffe , Fenster , Bauelemente",,info@kasberger.de,St. Florian am Inn,"4782, St. Florian am Inn",(+43) 7712/4646-0
KATZLBERGER GmbH,katzlberger.at,Warensortiment: Baumaschinen,,office@katzlberger.at,Mettmach,"4931, Mettmach",07755/7171-0
KIEMESWENGER Tischlerfachwerkstatt GmbH,kiemeswenger.at,"Warensortiment: Inneneinrichtungen , Möbel , Tischlerei , Küchen",,office@kiemeswenger.at,Hofkirchen an der Trattnach,KIEMESWENGER TISCHLERFACHWERKSTATT HauptstraÃe 29 4716 Hofkirchen/Tr. +43 7734 2023 office@kiemeswenger.at,+43 7734 2023
KOBE Fenster-Türen-Sonnenschutz GmbH,kobe-fenster.at,"Warensortiment: Markisen , Rollläden , Terrassenverbauten , Fenster , Türen , Wintergärten , Sonnenschutz",,office@kobe-fenster.at,Altheim,"4950, Altheim",+43772344420
KOFLER POOL GmbH,koflerpool.at,"Warensortiment: Pools , Poolüberdachungen",,office@koflerpool.at,Oberweis,"4664, Oberweis",+43761344240
KONZEPTMÜHLE GmbH,immobaer.at,Warensortiment: Immobilien,,info@immobaer.at,Bad Schallerbach,"4701, Bad Schallerbach",‭‭+436601198219‬
KRONOTECH Wärmepumpen GmbH,kronotech.at,"Warensortiment: Heizungen - Erdwärme , Sanierung , Heizungen - Wärmepumpen",,office@kronotech.at,Attnang-Puchheim,"4800, Attnang-Puchheim",+43 7674 64311
LEDERBAUER Andreas,stiegenbau.at,"Warensortiment: Geländer , Möbel , Treppen , Treppenbeschichtungen",,lederbauer@stiegenbau.at,Eberschwang,"4906, Eberschwang",004377532316
LEITNER BAU GmbH,leithner-bau.at,"Warensortiment: Häuser , Hallenbau , Dachstühle , Fundamente , Gerüste , Keller , Sanierung , Bauunternehmen , Planung , Zimmerei , Altbausanierung , Carports , Garagen , Generalunternehmer",,office@leithner-bau.at,St. Florian am Inn,"4782, St. Florian am Inn",+43771232870
LG ELECTRONICS Deutschland GmbH,lg.com,"Warensortiment: Heizungen - Wärmepumpen , Klimaanlagen",,serviceindia@lge.com,Wien,"1110, Wien",86) - 249
M-TEC Energie.Innovativ GmbH,m-tec.at,"Warensortiment: Installationen , Lüftungen , Sanitär , Heizungen - Wärmepumpen",,info@m-tec.at,Arnreit,"4122, Arnreit",+4372827009
MALEREI GROSSBÖTZL GmbH,grossboetzl.at,"Warensortiment: Farbberatung/ -gestaltung , Fassaden , Fassadenbegrünung , Malerei",,office@grossboetzl.at,Ried im Innkreis,"4910, Ried im Innkreis",0043775285634
MANDL Wolfgang,baeckerei-mandl.at,Warensortiment: Cafe,,office@baeckerei-mandl.at,Ried im Innkreis,"4910, Ried im Innkreis",07752 82530
MARASOLAR GmbH,marasolar.at,"Warensortiment: Speichersysteme , Photovoltaikanlagen & Solar , Erneuerbare Energie",,info@marasolar.at,Reichersberg,"4974, Reichersberg",+43775830500
MARKUS EIBLHUBER e.U.,eiblhuber.com,"Warensortiment: Badmöbel , Inneneinrichtungen , Möbel , Schlafsysteme , Holzböden , Tischlerei , Türen , Küchen",,tischlermeister@eiblhuber.com,Weibern,"4675, Weibern",0664 / 9482948
MASSIVHOLZ FESSL GmbH,massivholz-fessl.at,"Warensortiment: Fassaden , Terrassenbeläge , Holzböden , Balkonbelege",,office@massivholz-fessl.at,St. Johann am Walde,"5242, St. Johann am Walde",+4367761042910
MAVIDA Johannes Költringer,mavida-vital.at,"Warensortiment: Erdstrahlen , E-Smog , Wellness",,,Salzburg,"5020, Salzburg",
MAYRHOFER Vertriebs GmbH,dermayrhofer.at,"Warensortiment: Möbel , Bäder , Küchen",,info@dermayrhofer.at,St. Veit im Mühlkreis,"4173, St. Veit im Mühlkreis",0043722963550
MEMON memon bionic instruments,fuchs.memonpartner.com,"Warensortiment: E-Smog , Handy-Strahlung , Wasseraufbereitung",,,Altheim,"4950, Altheim",
MHM MASSIV-HOLZBAU GmbH,meissnitzer.at,"Warensortiment: Fassaden , Häuser - Holzhäuser , Häuser - Niedrigenergiehäuser , Häuser - Passivhäuser , Häuser - Fertighäuser , Häuser - Rohbau",,office@meissnitzer.at,Niedernsill,"5722, Niedernsill",0043%206548%208720
MUSTERHAUSPARK GmbH,musterhauspark.at,"Warensortiment: Häuser - Ziegelhäuser , Häuser - Holzhäuser , Häuser - Niedrigenergiehäuser , Häuser - Passivhäuser , Häuser - Fertighäuser",,%20office@musterhauspark.at,Eugendorf,"5301, Eugendorf",0043622527127
M³SOLAR GmbH,m3solar.eu,"Warensortiment: Alarmanlagen , Elektroplanung , Planung , Photovoltaikanlagen & Solar , Carports , Elektroinstallation , Erneuerbare Energie , Energieberatung , Klimaanlagen",,office@m3solar.eu,Altheim,"4950, Altheim",+43 676 424 15 74
MÜHLBÖCK RAUMAUSSTATTUNG,wohnen-muehlboeck.at,"Warensortiment: Markisen , Terrassenbeläge , Raumausstattung , Terrassenüberdachungen , Sonnenschutz",,office@wohnen-muehlboeck.at,Zell an der Pram,"4755, Zell an der Pram",+4377646539
NASCHMAX GmbH,schaumrolle.at,Warensortiment: Süßwaren,,office%40na%73chmax.%61t,Aurolzmünster,"4971, Aurolzmünster",0043775280216
OBERBANK RIED,oberbank.at,"Warensortiment: Finanzierung , Förderungen , Banken",,kundenservice@oberbank.at,Ried im Innkreis,"4910, Ried im Innkreis",+4373278020
OVB – Landesdirektion Weingartler,ovb.at,"Warensortiment: Finanzierung , Bausparen , Banken , Versicherungen",,ovb@hv.ovb.at,Linz,"4020, Linz",+436626285670
OÖ ENERGIESPARVERBAND,energiesparverband.at,"Warensortiment: Wohnbauförderung , Heizungen , Bauberatung , Dämmstoffe , Wärmedämmung , Photovoltaikanlagen & Solar , Energieberatung",,,Linz,"4020, Linz",+43800205206
PAMALUX LEUCHTEN GmbH,pamalux.at,"Warensortiment: Lichttechnik , Architektur",,office@pamalux.at,Straßwalchen,"5204, Straßwalchen",+436216208020
PARGFRIEDER Strahltechnik GmbH,,"Warensortiment: Dienstleistungen , Dachsanierung",,,Aurolzmünster,"4971, Aurolzmünster",
PLANCO GmbH,planco.at,"Warensortiment: Häuser , Bauaufsicht , Planung , Architektur",,office@domain.com,Regau,"4844, Regau",1234 567 89
PLANET A Studio e.U.,planet-a.studio,"Warensortiment: Inneneinrichtungen , Möbel , Küchen , Innenarchitektur",,angelika@planet-a.studio,Senftenbach,"4973, Senftenbach",+436508315019
POOLUNDMEER,poolundmeer.com,"Warensortiment: Pools , Rohrleitung , Schwimmteiche , UV-Entkeimung , Wasseraufbereitung , Wellness , Sauna , Ökologisch bauen , Überdachungen , Renovierung , Heizungen - Wärmepumpen",,poolundmeer@gmail.com,Rainbach,"4261, Rainbach",+436605910969
PROHOLZ Oberösterreich,proholz-ooe.at,Warensortiment: Ausstellung,,,Linz,"4020, Linz",24.06.2026
RAIFFEISENBANK Oberösterreich,raiffeisen-ooe.at,,,info@raiffeisen.at,Linz,"4020, Linz",+43 599 34898 989
ÖKOFEN Vertrieb Österreich GmbH,oekofen.at,"Warensortiment: Heizungen - Pellets , Pufferspeicher , Photovoltaikanlagen & Solar , Erneuerbare Energie , Heizungen - Wärmepumpen",,info@oekofen.com,Lembach im Mühlkreis,"4132, Lembach im Mühlkreis",100 - 130
