exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
Adalid Sciences,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Adalid Sciences,A-17,Exhibitor in BioJapan,Yokohama,
Advanced Technology Acceleration Corporation (ATAC),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Advanced Technology Acceleration Corporation (ATAC),B-88,Exhibitor in BioJapan,Yokohama,
AdvanSentinel,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AdvanSentinel,A-06,Exhibitor in BioJapan,Yokohama,
ADVANTAGE AUSTRIA,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ADVANTAGE AUSTRIA,,Exhibitor in BioJapan,Yokohama,
ADVANTAGE AUSTRIA / EU-Japan Centre for Industrial Cooperation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ADVANTAGE AUSTRIA / EU-Japan Centre for Industrial Cooperation,,Exhibitor in BioJapan,Yokohama,
"Advantec Toyo Kaisha,",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Advantec Toyo Kaisha,",B-35,Exhibitor in BioJapan,Yokohama,
AGC Biologics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AGC Biologics,D-15,Exhibitor in BioJapan,Yokohama,
Agro Ludens,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Agro Ludens,B-49,Exhibitor in BioJapan,Yokohama,
Ahead Biocomputing,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ahead Biocomputing,B-05,Exhibitor in BioJapan,Yokohama,
AIC-VISION,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AIC-VISION,C-57,Exhibitor in BioJapan,Yokohama,
AIREX,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AIREX,B-50,Exhibitor in BioJapan,Yokohama,
aiwell Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,aiwell Inc.,V-23,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Ajinomoto,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ajinomoto,D-14,Exhibitor in BioJapan,Yokohama,
Akesa,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Akesa,D-95,Exhibitor in BioJapan,Yokohama,
Akita Prefectural University / Nagaoka University of Technology / University of the Ryukyus,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Akita Prefectural University / Nagaoka University of Technology / University of the Ryukyus,C-36,Exhibitor in BioJapan,Yokohama,
ALAis,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ALAis,A-15,Exhibitor in BioJapan,Yokohama,
Alfa Laval,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Alfa Laval,A-15,Exhibitor in BioJapan,Yokohama,
Alfresa Holdings Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Alfresa Holdings Corporation,D-108,Exhibitor in BioJapan,Yokohama,
Alfresa Pharma,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Alfresa Pharma,D-108,Exhibitor in BioJapan,Yokohama,
Alloy Therapeutics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Alloy Therapeutics,C-47,Exhibitor in BioJapan,Yokohama,
ALMA SERUM,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ALMA SERUM,D-99,Exhibitor in BioJapan,Yokohama,
ALPA75,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ALPA75,H-14,Exhibitor in healthTECH JAPAN,Yokohama,
Alpha Fusion,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Alpha Fusion,D-47,Exhibitor in BioJapan,Yokohama,
alpha-Aging Bio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,alpha-Aging Bio,A-06,Exhibitor in BioJapan,Yokohama,
AlphaSense,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AlphaSense,D-24,Exhibitor in BioJapan,Yokohama,
ALPX,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ALPX,D-30,Exhibitor in BioJapan,Yokohama,
AMED New Modality Consortium,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AMED New Modality Consortium,A-16,Exhibitor in BioJapan,Yokohama,
Ampametry,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ampametry,C-55,Exhibitor in BioJapan,Yokohama,
Amptek Technologies,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Amptek Technologies,B-84,Exhibitor in BioJapan,Yokohama,
AN Venture GK,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AN Venture GK,,Exhibitor in BioJapan,Yokohama,
Ananthya,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ananthya,,Exhibitor in BioJapan,Yokohama,
Anemocyte,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Anemocyte,PTR-04,Exhibitor in BioJapan,Yokohama,
AnexAPep Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AnexAPep Inc.,V-88,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Anivance AI Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Anivance AI Corporation,C-53,Exhibitor in BioJapan,Yokohama,
Annaida Technologies,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Annaida Technologies,,Exhibitor in BioJapan,Yokohama,
ANPLAT,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ANPLAT,B-05,Exhibitor in BioJapan,Yokohama,
ANYGENES,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ANYGENES,B-06,Exhibitor in BioJapan,Yokohama,
AOI Biosciences,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AOI Biosciences,B-50,Exhibitor in BioJapan,Yokohama,
Aomori University,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Aomori University,A-67,Exhibitor in BioJapan,Yokohama,
Apmonia,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Apmonia,D-30,Exhibitor in BioJapan,Yokohama,
APRO Science(Pharma Foods International),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,APRO Science(Pharma Foods International),A-01,Exhibitor in BioJapan,Yokohama,
AQAS Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AQAS Corporation,V-10,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
AQSim,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AQSim,A-06,Exhibitor in BioJapan,Yokohama,
Aquaflonix,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Aquaflonix,A-06,Exhibitor in BioJapan,Yokohama,
Aquatic Integrated Carbon Sequestration Organization (AICaS),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Aquatic Integrated Carbon Sequestration Organization (AICaS),A-03,Exhibitor in BioJapan,Yokohama,
"ARCALIS,",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"ARCALIS,",D-100,Exhibitor in BioJapan,Yokohama,
Ardena Holding,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ardena Holding,C-35,Exhibitor in BioJapan,Yokohama,
ArkMS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ArkMS,D-108,Exhibitor in BioJapan,Yokohama,
Arktus Therapeutics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Arktus Therapeutics,B-50,Exhibitor in BioJapan,Yokohama,
ArrayPatch,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ArrayPatch,B-06,Exhibitor in BioJapan,Yokohama,
ARTERIO BIO,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ARTERIO BIO,B-44,Exhibitor in BioJapan,Yokohama,
ARTINUS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ARTINUS,B-29,Exhibitor in BioJapan,Yokohama,
Asahi Kasei Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Asahi Kasei Corporation,C-26,Exhibitor in BioJapan,Yokohama,
Asahi Kasei Life Science,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Asahi Kasei Life Science,C-25,Exhibitor in BioJapan,Yokohama,
Asahi Kasei Therapeutics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Asahi Kasei Therapeutics,PTR-05,Exhibitor in BioJapan,Yokohama,
Asahi Life Science,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Asahi Life Science,R-34,Exhibitor in Regenerative Medicine Japan,Yokohama,
ASAHIKAWA MEDICAL UNIVERSITY,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ASAHIKAWA MEDICAL UNIVERSITY,B-44,Exhibitor in BioJapan,Yokohama,
asai,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,asai,B-72,Exhibitor in BioJapan,Yokohama,
Asai Germanium Research Institute,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Asai Germanium Research Institute,B-05,Exhibitor in BioJapan,Yokohama,
Ascension Medical Biotechnology,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ascension Medical Biotechnology,D-26,Exhibitor in BioJapan,Yokohama,
Asimov,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Asimov,D-04,Exhibitor in BioJapan,Yokohama,
ASKA Pharmaceutical,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ASKA Pharmaceutical,D-11,Exhibitor in BioJapan,Yokohama,
Astellas Pharma,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Astellas Pharma,D-47,Exhibitor in BioJapan,Yokohama,
Astellas Pharma Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Astellas Pharma Inc.,D-47,Exhibitor in BioJapan,Yokohama,
AstraZeneca,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,AstraZeneca,PTR-10,Exhibitor in BioJapan,Yokohama,
Astrea Bioseparations,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Astrea Bioseparations,D-57,Exhibitor in BioJapan,Yokohama,
Asymchem Laboratories (Tianjin),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Asymchem Laboratories (Tianjin),B-64,Exhibitor in BioJapan,Yokohama,
ATCC / Funakoshi,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ATCC / Funakoshi,D-103-2,Exhibitor in BioJapan,Yokohama,
atDose,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,atDose,B-05,Exhibitor in BioJapan,Yokohama,
ATEMs,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ATEMs,B-20,Exhibitor in BioJapan,Yokohama,
Aurion Biotech Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Aurion Biotech Japan,,Exhibitor in Regenerative Medicine Japan,Yokohama,
Austrade Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Austrade Japan,D-95,Exhibitor in BioJapan,Yokohama,
Australian Embassy,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Australian Embassy,D-95,Exhibitor in BioJapan,Yokohama,
Austrian Business Agency (ABA),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Austrian Business Agency (ABA),,Exhibitor in BioJapan,Yokohama,
Avion CRO,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Avion CRO,D-95,Exhibitor in BioJapan,Yokohama,
"Axcelead Drug Discovery Partners,",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Axcelead Drug Discovery Partners,",C-42,Exhibitor in BioJapan,Yokohama,
Axil Capital Advisors K.K.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Axil Capital Advisors K.K.,V-18,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Axiom Insights GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Axiom Insights GmbH,B-73,Exhibitor in BioJapan,Yokohama,
Axiom Therapeutics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Axiom Therapeutics,C-24,Exhibitor in BioJapan,Yokohama,
Axxam SpA,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Axxam SpA,B-07,Exhibitor in BioJapan,Yokohama,
ayumo,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,ayumo,A-06,Exhibitor in BioJapan,Yokohama,
Azabu Juui Gakuen Educational Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Azabu Juui Gakuen Educational Corporation,A-36,Exhibitor in BioJapan,Yokohama,
Azabu University,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Azabu University,A-36,Exhibitor in BioJapan,Yokohama,
Azenta Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Azenta Japan,D-90,Exhibitor in BioJapan,Yokohama,
"Bac3Gel, Lda",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Bac3Gel, Lda",B-06,Exhibitor in BioJapan,Yokohama,
Baiya Phytopharm,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Baiya Phytopharm,C-58,Exhibitor in BioJapan,Yokohama,
Ball Wave,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Ball Wave,B-50,Exhibitor in BioJapan,Yokohama,
Banook,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Banook,D-30,Exhibitor in BioJapan,Yokohama,
Basgenbio,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Basgenbio,B-58,Exhibitor in BioJapan,Yokohama,
Bayer Yakuhin,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bayer Yakuhin,,Exhibitor in BioJapan,Yokohama,
Bayern International GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bayern International GmbH,B-73,Exhibitor in BioJapan,Yokohama,
Beckman Coulter,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Beckman Coulter,C-84,Exhibitor in BioJapan,Yokohama,
Beijing Tide Pharmaceutical,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Beijing Tide Pharmaceutical,C-61,Exhibitor in BioJapan,Yokohama,
Belgian Red Cross Flanders - Lysantum hPL,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Belgian Red Cross Flanders - Lysantum hPL,C-35,Exhibitor in BioJapan,Yokohama,
Bene Meat Technologies,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bene Meat Technologies,A-17,Exhibitor in BioJapan,Yokohama,
BEX,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BEX,D-115,Exhibitor in BioJapan,Yokohama,
BICO Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BICO Japan,B-50,Exhibitor in BioJapan,Yokohama,
Bio Base Europe Pilot Plant (BBEPP),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bio Base Europe Pilot Plant (BBEPP),C-35,Exhibitor in BioJapan,Yokohama,
Bio Circular economy Council,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bio Circular economy Council,B-80,Exhibitor in BioJapan,Yokohama,
Bio Matrix Research,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bio Matrix Research,B-15,Exhibitor in BioJapan,Yokohama,
Bio-oriented Technology Research Advancement Institution (BRAIN),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bio-oriented Technology Research Advancement Institution (BRAIN),A-15,Exhibitor in BioJapan,Yokohama,
BioAro Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioAro Inc.,B-86,Exhibitor in BioJapan,Yokohama,
BioBox Analytics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioBox Analytics,B-84,Exhibitor in BioJapan,Yokohama,
Biobytes,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biobytes,B-75,Exhibitor in BioJapan,Yokohama,
BioCina,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioCina,D-92,Exhibitor in BioJapan,Yokohama,
BioCloner Health,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioCloner Health,C-30,Exhibitor in BioJapan,Yokohama,
BiocommSquared,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BiocommSquared,D-95,Exhibitor in BioJapan,Yokohama,
BioCortex,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioCortex,C-24,Exhibitor in BioJapan,Yokohama,
Biocytogen Pharmaceuticals (Beijing),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biocytogen Pharmaceuticals (Beijing),D-53,Exhibitor in BioJapan,Yokohama,
BioDynamics Laboratory Inc. (BDL),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioDynamics Laboratory Inc. (BDL),D-103,Exhibitor in BioJapan,Yokohama,
"Biofluid Biomarker Center, Niigata University",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Biofluid Biomarker Center, Niigata University",V-93,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Bioindustry Park Silvano Fumero SpA Società Benefit/bioPmed,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bioindustry Park Silvano Fumero SpA Società Benefit/bioPmed,D-99,Exhibitor in BioJapan,Yokohama,
BioIVT,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioIVT,R-35,Exhibitor in Regenerative Medicine Japan,Yokohama,
Biolabo,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biolabo,B-50,Exhibitor in BioJapan,Yokohama,
BioLabs Shinkiba,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioLabs Shinkiba,C-67,Exhibitor in BioJapan,Yokohama,
Biolight Biotechnology,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biolight Biotechnology,D-75,Exhibitor in BioJapan,Yokohama,
Biomaterial in Tokyo,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biomaterial in Tokyo,C-09,Exhibitor in BioJapan,Yokohama,
BioMed Linkage Tech,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioMed Linkage Tech,D-18,Exhibitor in BioJapan,Yokohama,
Biomedcode Hellas,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biomedcode Hellas,B-06,Exhibitor in BioJapan,Yokohama,
"Biomedical Translation Research Center, Academia Sinica",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Biomedical Translation Research Center, Academia Sinica",D-26,Exhibitor in BioJapan,Yokohama,
bioMérieux Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,bioMérieux Japan,R-14,Exhibitor in Regenerative Medicine Japan,Yokohama,
Bionique Testing Laboratories,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bionique Testing Laboratories,C-25,Exhibitor in BioJapan,Yokohama,
Bionova Scientific,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bionova Scientific,C-25,Exhibitor in BioJapan,Yokohama,
"Bionto, Inc.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Bionto, Inc.",V-82,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
BioPhenolics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioPhenolics,C-23,Exhibitor in BioJapan,Yokohama,
BioResource Innovation Hub in Kobe (BRIH-K),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BioResource Innovation Hub in Kobe (BRIH-K),C-34,Exhibitor in BioJapan,Yokohama,
Biosimulytics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biosimulytics,B-06,Exhibitor in BioJapan,Yokohama,
Biotechnome Consulting,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Biotechnome Consulting,C-22,Exhibitor in BioJapan,Yokohama,
biotechrabbit GmbH,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,biotechrabbit GmbH,B-73,Exhibitor in BioJapan,Yokohama,
bitBiome,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,bitBiome,C-08,Exhibitor in BioJapan,Yokohama,
BizComJapan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BizComJapan,R-35,Exhibitor in Regenerative Medicine Japan,Yokohama,
BLAST,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BLAST,B-05,Exhibitor in BioJapan,Yokohama,
Blockbuster Creation / Blockbuster Pathfinders (Tokyo Metropolitan Government),,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Blockbuster Creation / Blockbuster Pathfinders (Tokyo Metropolitan Government),B-12,Exhibitor in BioJapan,Yokohama,
Blue Engineering,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Blue Engineering,D-99,Exhibitor in BioJapan,Yokohama,
Blue Practice [NINEJP],,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Blue Practice [NINEJP],,Exhibitor in BioJapan,Yokohama,
bluebooks,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,bluebooks,A-03,Exhibitor in BioJapan,Yokohama,
BM Equipment,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BM Equipment,R-25,Exhibitor in Regenerative Medicine Japan,Yokohama,
Boehringer Ingelheim,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Boehringer Ingelheim,PTR-01,Exhibitor in BioJapan,Yokohama,
Bora Biologics,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Bora Biologics,D-26,Exhibitor in BioJapan,Yokohama,
BRAIN Biotech,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BRAIN Biotech,C-18,Exhibitor in BioJapan,Yokohama,
"Brain/MINDS 2.0, Hokkaido University",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Brain/MINDS 2.0, Hokkaido University",A-28,Exhibitor in BioJapan,Yokohama,
Brand Institute Japan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Brand Institute Japan,B-61,Exhibitor in BioJapan,Yokohama,
BREXA Advan,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BREXA Advan,A-01,Exhibitor in BioJapan,Yokohama,
"British Embassy Tokyo, Department for Business, Innovation, Science and Trade",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"British Embassy Tokyo, Department for Business, Innovation, Science and Trade",C-24,Exhibitor in BioJapan,Yokohama,
BSG,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BSG,B-52,Exhibitor in BioJapan,Yokohama,
BTL Healthcare Technologies,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,BTL Healthcare Technologies,A-17,Exhibitor in BioJapan,Yokohama,
"Business France, Embassy of France in Japan",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"Business France, Embassy of France in Japan",D-30,Exhibitor in BioJapan,Yokohama,
C4U Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,C4U Corporation,V-38,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Cabinet Office,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cabinet Office,A-06,Exhibitor in BioJapan,Yokohama,
CaksusBio Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CaksusBio Inc.,V-46,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
CALLISTO,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CALLISTO,B-36,Exhibitor in BioJapan,Yokohama,
CarbGeM,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CarbGeM,C-34,Exhibitor in BioJapan,Yokohama,
CarbGeM Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CarbGeM Inc.,V-77,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
CARBOGEN AMCIS,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CARBOGEN AMCIS,D-34,Exhibitor in BioJapan,Yokohama,
CardioBeta,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CardioBeta,D-47,Exhibitor in BioJapan,Yokohama,
CAST Bio Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CAST Bio Inc.,V-89,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
CBC,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CBC,D-117,Exhibitor in BioJapan,Yokohama,
"CEFO Co., Ltd.",,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,"CEFO Co., Ltd.",B-20,Exhibitor in BioJapan,Yokohama,
Celaid Therapeutics Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Celaid Therapeutics Inc.,V-47,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
Cell Engineering Corporation,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cell Engineering Corporation,B-52,Exhibitor in BioJapan,Yokohama,
Cell Resources,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cell Resources,D-108,Exhibitor in BioJapan,Yokohama,
Cellafa Bioscience,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,Cellafa Bioscience,R-38,Exhibitor in Regenerative Medicine Japan,Yokohama,
CellAxia Inc.,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CellAxia Inc.,V-55,Exhibitor in Japan Healthcare Venture Summit,Yokohama,
CellFold,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CellFold,B-50,Exhibitor in BioJapan,Yokohama,
CellFree Sciences,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CellFree Sciences,B-05,Exhibitor in BioJapan,Yokohama,
CellGebTech,,,,"PACIFICO Yokohama, Yokohama, Japan",Japan,CellGebTech,B-50,Exhibitor in BioJapan,Yokohama,
