exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
"HEBEI RUIJIE PIPE INDUSTRY CO.,LTD.",rjpprpipe.com,,,Uzexpocentre NEC,China,"HEBEI RUIJIE PIPE INDUSTRY CO.,LTD.",F 34,"Hebei Ruijie Pipe Industry Co., Ltd. is a professional manufacturer of pipe products, The company boasts a standard, modern production base with a scientifically laid-out production workshop, achieving closed-loop management throughout the entire process from raw material storage and processing to finished product testing and logistics delivery, ensuring product quality and delivery efficiency. From raw material inspection upon arrival and production process monitoring to finished product shipment, every step is subject to strict standard control, ensuring the stable and reliable quality of every batch of products.",Tashkent,
HITIUM,hitium.uz,,,Uzexpocentre NEC,Uzbekistan,HITIUM,F 98,"HITIUM is an expert in the design, installation, and maintenance of engineering systems. We combine technology, experience, and innovation to deliver solutions that meet the highest quality standards.",Tashkent,
JAHON INVEST PLAST,jahoninvestplast.com,,,Uzexpocentre NEC,Uzbekistan,JAHON INVEST PLAST,H 61,"The company LLC ""JAHON INVEST PLAST"" was founded in 2006. The main activity of the company is the production of plastic products, consumer goods, PE tanks up to 18,000 liters, plastic furniture chairs and tables, plastic crates, plastic pipes and fittings, brass fittings and brass balls - a total of more than 2000 product types that fully cover the domestic market of Uzbekistan and are exported to Central Asian countries. Production TechnologiesThe company has the most modern technologies of injection molding, extrusion and processing of plastics:- plastics injection molding;- pipe extrusion and twin-screw extrusion, compounding;- extrusion blow molding;- rotational molding;",Tashkent,
"JIANGMEN ZHIXIANG SANITARY WARE TECHNOLOGY CO., LTD",zhixiangetr.com,,,Uzexpocentre NEC,China,"JIANGMEN ZHIXIANG SANITARY WARE TECHNOLOGY CO., LTD",K 36,"Jiangmen Zhixiang Bathroom Technology Co., Ltd. is located in Zhishan Town, Heshan City. We specialize in R&D and production of heated towel racks & stainless steel bathroom hardware accessories. Equipped with complete production and testing equipment, we strictly control quality and provide OEM & ODM customization. Our products adopt 304 stainless steel and PVD coating, with moisture-proof, drying and sterilizing functions, complying with international standards. Our goods are exported to Russia, Central Asia, Europe and America. We adhere to fine manufacturing to supply cost-effective smart bathroom solutions worldwide.",Tashkent,
JIANGSU GOMON NEW ENERGY TECHNOLOGY CO.LTD,,,,Uzexpocentre NEC,China,JIANGSU GOMON NEW ENERGY TECHNOLOGY CO.LTD,F 86,"Jiangsu Gomon New Energy, a core subsidiary of Gomon Group in China, founded in 1998, specializes in manufacturing pressurized enamelled water tanks, solar energy, and air energy products. With over 20 years of experience, we own a CNAS Laboratory, an Air Source Heat Pump Enthalpy Difference Laboratory, and fully automated production lines. Certified to CE, SOLAR MARK, WATER MARK, and ETL, we adhere to strict quality control standards. Committed to continuous improvement and innovation, we provide efficient, reliable, and cost-effective solutions to meet customer needs. We look forward to your visit and partnership in creating a low-carbon green life.",Tashkent,https://www.linkedin.com/company/gmwaterheater/home/
"JIANGSU YUEBOYANG PURIFICATION EQUIPMENT CO.,LTD.",,,,Uzexpocentre NEC,China,"JIANGSU YUEBOYANG PURIFICATION EQUIPMENT CO.,LTD.",H 64,"Jiangsu Yueboyang Purification Equipment Co., Ltd. is an innovative high-tech enterprise integrating research and development, manufacturing, sales, testing, installation, commissioning, and maintenance. The company's main products include coarse, medium, and high-efficiency air filters, high-efficiency supply air outlets, venturi valves, fire dampers, silencers, and other purification equipment.Yueboyang Purification ,based in Jiangsu,Possesses extensive production, service, and maintenance capabilities for purification equipment.",Tashkent,
"JIANGXI AVONFLOW HVAC TECH CO., LTD.",avonflow.com.cn,,,Uzexpocentre NEC,China,"JIANGXI AVONFLOW HVAC TECH CO., LTD.",G 14,"JIANGXI AVONFLOW HVAC TECH CO.,LTD was established in 2005, is a high-tech enterprise specializing in the R&D, design, production, and sales of HVAC home products. Avonflow holds the distinction of being the first company in China's electric heated towel rail industry to successfully list on the domestic capital market. Avonflow's main products include towel rails, radiators, thermostats, valves, pipe fittings, magnetic filters, etc. The factory boasts an annual production capacity of over 2 million sets of heated towel rails, making it one of the larger-scale producers of electric heated towel rails in China.",Tashkent,https://www.linkedin.com/company/no-access/
"JIAXING LEMONADE ENVIRONMENTAL TECHNOLOGY CO., LTD.",,,,Uzexpocentre NEC,China,"JIAXING LEMONADE ENVIRONMENTAL TECHNOLOGY CO., LTD.",F 158,"Jiaxing Lemonade Environmental Technology Co., Ltd. is a professional manufacturer of RO Water Purification Products in China, which integrates production and sales with research and development. We are specialized in a full range of environment-friendly products, including Household Water Purifiers, Commercial RO System, complete sets of Industrial Water Treatment equipment, central Water Softener and Industrial RO Membrane, Pumps and most of Accessories.Lemonade has set up professional production base in Jiaxing and Ningbo city, Zhejiang Province. With strict management, we are professional OEM and ODM partner and have long-term cooperation with many clients companies in different countries.",Tashkent,
"JIHOZVENT, LTD",jihozvent.uz,,,Uzexpocentre NEC,Uzbekistan,"JIHOZVENT, LTD",L 70,"JIHOZVENT is a leading manufacturer of industrial ventilation and air conditioning equipment in Uzbekistan and Central Asia. Founded in 2002, the company develops and produces reliable solutions: VRF systems, industrial air conditioners, chillers, recuperators, heat exchangers, duct and valve equipment, fans, filters, grilles, and silencers. In 2024, a new modern factory was launched, significantly increasing production capacity. JIHOZVENT actively develops exports, offering partners high-quality equipment that meets international standards. The company’s goal is to create innovative and energy-efficient solutions for comfort and safety in residential, commercial, and industrial facilities.",Tashkent,https://www.linkedin.com/company/linkedin.com/company/jihozvent
JILIN GUANGHAO ELECTROMECHANICAL LLC,,,,Uzexpocentre NEC,China,JILIN GUANGHAO ELECTROMECHANICAL LLC,F 115,"Our principal business covers boilers, water pumps, electrical control cabinets and other boiler auxiliary equipment, heating radiators, generator sets and gas pressure regulating cabinets",Tashkent,
"JINYUN SHENGDA INDUSTRY CO.,LTD",,,,Uzexpocentre NEC,China,"JINYUN SHENGDA INDUSTRY CO.,LTD",F 32,"Zhejiang Jinyun Shengda Industry Co., Ltd. was established in 1995. The company covers an area of 36,500 square meters, with fixed assets of 120 million Yuan. Mainly produces steel panel radiators. The company has two fully automatic LEAS steel radiator support production lines and the world's leading fully automatic electrophoresis coating line. Our philosophy is ""The most cost-effective differentiated products"".",Tashkent,
"KERUEN PLUS, ТОО",,,,Uzexpocentre NEC,Kazakhstan,"KERUEN PLUS, ТОО",H 52,Plastic pipes producer,Tashkent,
KOMFOVENT LLC,komfovent-ru.ru,,,Uzexpocentre NEC,Russian Federation,KOMFOVENT LLC,K 160,"KOMFOVENT is a Russian manufacturer of modern ventilation equipment with heat recovery, as well as reliable fire and smoke protection systems. We create solutions that ensure comfort, energy efficiency, and safety in residential, commercial, and industrial facilities. Our product range range extends from residential systems to industrial units with capacities ranging from 100 to 100,000 m³/h.KOMFOVENT units combine high quality and innovative engineering with adaptability to specific operating conditions.Visit our stand and discover how our solutions can help you create an efficient ventilation system. KOMFOVENT — the energy of comfort in every breath!",Tashkent,
"LESSO, JV LLC",lesso.uz,,,Uzexpocentre NEC,Uzbekistan,"LESSO, JV LLC",H 62,"Founded in 1986, LESSO is a global leader in home improvement and construction materials. The group’s business portfolio includes plastic piping, building materials and home improvement, environmental protection, new energy, supply chain management service platforms, and more. The company offers a wide range of products, including pipes, photovoltaic systems, sanitary ware and plumbing equipment, integrated kitchen materials, integrated doors and windows, aluminum formwork and smart scaffolding, water purifiers, waterproofing materials and sealants, fire protection equipment, valves, cables, lighting, hygienic materials, environmental protection products, agricultural facilities, and marine aquaculture cages.",Tashkent,
"LIMITED LIABILITY COMPANY ""SPV""",,,,Uzexpocentre NEC,Russian Federation,"LIMITED LIABILITY COMPANY ""SPV""",L 60-4,"The SPV Group of Companies was founded in early 2012 and today is one of the leading manufacturers of drinking equipment. Our purifiers, drinking fountains, and drinking stations have been successfully installed at Sheremetyevo International Airport in Moscow and Pashkovsky Airport in Krasnodar, the Gorky Park Central Park and Recreation Center, parks and schools in Kazakhstan, sanatoriums, and public places in cities across Russia and the CIS",Tashkent,
"LLC ""PRADO""",radiator-prado.ru,,,Uzexpocentre NEC,Russian Federation,"LLC ""PRADO""",F 96,"The history of the PRADO plant began in 2005 in Izhevsk, on the basis of one of the country’s leading industry technological institutes. The plant ranks first in production and sales of steel panel radiators in Russia.Thanks to the high quality of the welds, in tensile tests the radiators are able to withstand pressure up to 35 MPa. During the production of radiators, low-carbon sheet steel with a thickness of at least 1.2 mm is used. Quality confirmed by 60 years of experience in welding technologies in the defense industry. PRADO radiators have repeatedly become winners of various industry competitions awards.",Tashkent,
MAIR,mair.by,,,Uzexpocentre NEC,Belarus,MAIR,L 46,MAIR is a Belarusian manufacturer specializing in modern refrigeration and climate control solutions,Tashkent,
MAKHZAN FOOLAD RAFE,,,,Uzexpocentre NEC,Iran,MAKHZAN FOOLAD RAFE,L 40,"Designer and Manufacturer of steam boilers, hot water boiler, thermal oil heaters and ancillary equipments",Tashkent,https://www.linkedin.com/company/daboosanat
"MAXSUS QURILISH ENGINEERING, LLC",mq-engineering.uz,,,Uzexpocentre NEC,Uzbekistan,"MAXSUS QURILISH ENGINEERING, LLC",G 10,"OOO Maxsus Qurilish Engineering - is an official representative of the world manufacturers of equipment for water treatment and water treatment and pumping in the territory of the Republic of Uzbekistan.A wide range of products offered by the company is:- ESMIL-Group equipment for wastewater treatment, and supply of advanced solutions in the field of water treatment and membrane processing for various industries.- Small treatment facilities and decentralized cleaning technologies of the KLARO wastewater.- CNP centrifugal pumps with high energy efficiency and advanced intellectual control systems.- High -quality locking reinforcement FAF - from design to products.",Tashkent,
"MAXSUS SUV QURILISH INVEST, LTD",msqinvest.gl.uz,,,Uzexpocentre NEC,Uzbekistan,"MAXSUS SUV QURILISH INVEST, LTD",H 82,Manufacturer of PE and corrugated pipes and reinforced concrete products.,Tashkent,
"NANAN XINGYUE KITCHEN AND BATHROOM CO., LTD",,,,Uzexpocentre NEC,China,"NANAN XINGYUE KITCHEN AND BATHROOM CO., LTD",K 72,"Nan'an Xingyue Kitchen and Bath Co., Ltd. is located in Nan'an, Fujian Province, known as the hometown of plumbing in China. It is a foreign trade export enterprise that integrates industry and trade and has its own factory for kitchen and bathroom products. Focusing on the production of faucets, plumbing hardware, bathroom accessories, etc., relying on the advantages of local industrial clusters, our products are exported worldwide to serve overseas customers with stable production capacity and quality.",Tashkent,
"NANFANG PUMP INDUSTRY CO.,LTD.(CNP)",cnppump.com,,,Uzexpocentre NEC,China,"NANFANG PUMP INDUSTRY CO.,LTD.(CNP)",L 44,"Nanfang Pump Industry Co., Ltd. (CNP)was founded in 1991 and listed on the Shenzhen Stock Exchange in 2010. It offers full range of energy-saving products, including stainless steel stamping pumps, end-suction pumps, inline pumps, and split-case pumps, widely used in environmental water treatment, municipal water conservancy, HVAC, etc.CNP has 21 subsidiaries(16 domestic and 5 overseas), over 5,000 employees, 3 R&D centers, 10 manufacturing bases, 800 technicians,over 2,000 sales, 200 service centers in china. we achieve an annual production capacity of 1.2 million units,and are exported to more than 90 overseas countries and regions, with annual export volume reaching 100 million US dollars.",Tashkent,
NAWAS,,,,Uzexpocentre NEC,Uzbekistan,NAWAS,G 72,"NAWAS LLC Joint Venture is a modern enterprise established by Uzbekistan and China. We produce high-quality heating radiators and boilers.Goal – to provide consumers with energy-efficient, durable, and modern equipment. Focus – aluminum and bimetal radiators, stable boilers, quality control, and innovative solutions.Advantages – international standards, modern design, competitive prices, and warranty service.",Tashkent,
"NEWTHERM, LLC",newtherm.by,,,Uzexpocentre NEC,Belarus,"NEWTHERM, LLC",H 40,"Newtherm LLC is a Belarusian manufacturer of equipment for water treatment and wastewater treatment. We are able to solve water treatment problems of any complexity, such as iron removal, clarification, softening, disinfection, desalting, etc. When developing water purification technology, we use our own innovative developments.To date, Newterm LLC has supplied equipment and successfully put into operation in the Republic of Belarus and the Russian Federation more than 500 facilities with various technologies, configurations, and capacities in various fields: industry, energy, utilities, medicine.The staff includes specialists with higher specialized education and experience in water treatment for more than 20 years.",Tashkent,
NIMBUS,nimbus-pk.ru,,,Uzexpocentre NEC,Russian Federation,NIMBUS,L 60-3,"NIMBUS LLC is a Russian metalworking company specializing in fasteners for engineering systems. Its products are widely used in plumbing, ventilation and general construction.The range includes pipe clamps, hanging clamps, duct fasteners, T-shaped brackets and collector brackets. The company also manufactures customized products according to customer drawings and technical requirements.Its own electroplating workshop ensures high corrosion resistance and consistent product quality. NIMBUS offers a full production cycle, from development to applying the customer's brand or logo. Reliability, efficiency and flexibility are the company's key principles.",Tashkent,
"NINGBO AIMEI METER MANUFACTURE CO.,LTD",asmwatermeter.com,,,Uzexpocentre NEC,China,"NINGBO AIMEI METER MANUFACTURE CO.,LTD",K 86,"Ningbo AIMEI Water Meter was established in 1987, and exporter in the water meter field around 40 years. Our product porfolio covers both mechanical and smart water meters, including Multi-jet, Single-jet,volumetric rotary piston, bulk meters and ultrasonic water meters etc. AIMEI has been certified to ISO 9001, ISO 14001, ISO17025,MID European standard and NSF-61 standard.",Tashkent,
"NINGBO CHIXIANG ELECTROMECHANICAL TECH CO.,LTD",,,,Uzexpocentre NEC,China,"NINGBO CHIXIANG ELECTROMECHANICAL TECH CO.,LTD",F 110,"Ningbo CHlXlANG Electromechanical Tech Co., LTD is located in Ningbo，we introduce the foreign advanced equipment and professional technology, independent research and design a series of automatic sewage lifting device. In the non-gravity drainage circumstance, it can treat all the non-corrosive tvpe sewage.",Tashkent,
"NINGBO DEYI METAL PRODUCTS CO.,LTD",deyi-metal.com,,,Uzexpocentre NEC,China,"NINGBO DEYI METAL PRODUCTS CO.,LTD",F 111,"Ningbo Deyi Metal Products Co., Ltd. is a production-oriented enterprise specializing in the design and manufacture of indoor and outdoor sewer systems and bathroom supporting systems.Mainly engaged in the design, production and sales of new deodorant floor drains, stainless steel strip floor drains, triangular floor drains, square floor drains, bathroom seats, bathroom handrails and other bathroom system components. Our new stainless steel floor drain has the characteristics of novel and beautiful shape, easy installation and maintenance. The length and performance parameters of the floor drain can be adjusted and customized according to customer requirements.",Tashkent,
"NINGBO NINGSHING KINHIL INTERNATIONAL CO.,LTD",kinhil.com,,,Uzexpocentre NEC,China,"NINGBO NINGSHING KINHIL INTERNATIONAL CO.,LTD",F 40,"NINGBO NINGSHING KINHIL INTERNATIONAL CO., LTD. is a company mainly specializing in manufacturing and distributing sanitary wares. Its main business line covers all kinds of radiators and accessories, faucets, brass valves, pipes, fittings, water pumps, water and gas meters, water filters and so on. As one of the largest exporters of this field in China, its annual export amount exceeds USD 100,000,000.",Tashkent,
"NINGBO TONGQIU ELECTRONICS TECHNOLOGY CO,.LTD",chinatongqiu.com,,,Uzexpocentre NEC,China,"NINGBO TONGQIU ELECTRONICS TECHNOLOGY CO,.LTD",K 156,"With over 30 years of experience in the water meter industry, our factory specializes in manufacturing single-jet, multi-jet, mechanical, smart, and ultrasonic water meters. We are committed to providing reliable and high-quality products supported by advanced production equipment and strict quality control. Our company has obtained various international certifications, ensuring compliance with global standards. Through continuous innovation and professional service, we have built long-term partnerships with customers worldwide.",Tashkent,
"NINGBO YUYI TECHNOLOGY CO.,LTD",,,,Uzexpocentre NEC,China,"NINGBO YUYI TECHNOLOGY CO.,LTD",K 46,"NingBo YuYi Technology Co., Ltd. is a manufacture of all kinds of ceramic seals(discs), ceramic cartridges(spool), plastic faucet,plastic valve core. Since the establishment in 2004, the company have over 100 workers and covering an area of 6500 square meter,We aremitted to providing high-quality products and professional foreign trade servers to meet the diverse needs of our customers.",Tashkent,
"NOVOPLAST TPE, LLC",uztpe.com,,,Uzexpocentre NEC,Uzbekistan,"NOVOPLAST TPE, LLC",K 28,"NOVOPLAST TPE is a leading manufacturer of thermoplastic elastomers and thermoplastic products. Applications of our TPE include shoe soles, door and window gaskets, gaskets for various constructions, food industry and gaskets for containers, production of household appliances with elastic parts and gaskets, production of sports and household goods and hygiene products with soft-touch handles, medical industry, production of cable wraps, watering and oxygen hoses. We always offer our customers the best quality and individual approach!",Tashkent,
NPOOO MC-BAGORIA,mc-bagoria.by,,,Uzexpocentre NEC,Belarus,NPOOO MC-BAGORIA,G 90,"NPOOO ""MC-BAGORIA"" is a Belarusian manufacturer of pressure gauges, bimetallic thermometers, protective frames for OZTS glass thermometers, selective devices and auxiliary fittings. The company has its own design developments and has an established technological production facility that provides a full cycle of manufacturing measuring instruments.: from precision mechanical parts to assembly and quality control of finished products. This approach allows you to keep the high quality of your products, and allows you to be flexible in response to customer requirements and competitive delivery times.",Tashkent,
NUPI INDUSTRIE ITALIANE S.P.A.,nupiindustrieitaliane.com,,,Uzexpocentre NEC,Italy,NUPI INDUSTRIE ITALIANE S.P.A.,H 90,"Nupi Industrie Italiane S.p.A. has been producing pipe and fitting systems for plumbing, heating, air conditioning, irrigation, water and gas pipelines, chemical and petrochemical markets for 50 years.The company develops real problem-solving systems capable of supplying every kind of installation while reducing costs, avoiding waste, and increasing productivity. Thanks to their quality, these products positively fulfil the most stringent field tests and obtained the most prestigious certifications.The company leadership is based on these solid foundations in a competitive and high technology industry such as plastics processing.",Tashkent,https://www.linkedin.com/company/1702282/admin/feed/posts/
OBAIR,,,,Uzexpocentre NEC,China,OBAIR,L 18,"OBAIR is a national high-tech Little Giant maker of certified clean central AC, with patents, digital workshops and 1，000,000 annual unit capacity.",Tashkent,
"OSTENDORF RUS, LLC",ostendorf.ru,,,Uzexpocentre NEC,Russian Federation,"OSTENDORF RUS, LLC",H 26,"The Ostendorf Group is one of the leading manufacturers in the segment of sewerage systems.In Russia, the company launched its own production facilities in 2010.The Ostendorf Rus plant is located in the Moscow region, Yegoryevsk. The plant has modern equipment. High-quality raw materials and components are used in production.Production and storage facilities allow us to consistently guarantee consumer demand for products manufactured in Russia and factory in Germany.With more than fifty years of experience in the production of sewerage systems, Ostendorf prioritizes product quality and maximum service.",Tashkent,
"PK KONTUR, LLC",,,,Uzexpocentre NEC,Russian Federation,"PK KONTUR, LLC",H 20,"KONTUR production company was founded in Russia in 2007. The main activity of the company is the production of modern polymer piping systems for water supply, underfloor and radiator heating, internal and external sewerage. The high quality of KONTUR products is ensured by the use of innovative technologies and materials. Automation of processes and a well-thought-out approach to each stage of production guarantees impeccable product quality. Each batch is subject to mandatory laboratory tests. All products are insured and fully comply with the requirements of regulatory documents. We offer our customers a wide range of high-quality products.",Tashkent,
PLUMBERS-SAVDO,,,,Uzexpocentre NEC,Uzbekistan,PLUMBERS-SAVDO,F 90,"Компания Dorff Group специализируется на современных решениях для систем отопления и инженерного оборудования.В наш ассортимент продукции входят биметаллические, алюминиевые, панельные и дизайнерские радиаторы, отопительные котлы, водонагреватели, коллекторы, фильтры и компоненты для систем отопления и водоснабжения.Мы уделяем особое внимание качеству продукции, современному дизайну и практичности. Наша цель — предложить надежные решения для квартир, частных домов, коммерческой недвижимости и строительных проектов.Dorff Group — теплота, качество и современный подход.",Tashkent,
POWER WORLD NEW ENERGY,powerworldhp.com,,,Uzexpocentre NEC,Germany,POWER WORLD NEW ENERGY,G 42,"Power World Germany GmbH, established in 2024, is a subsidiary of the Powerworld Group located in Germany. As a local European brand, we provide sales, technical support, and after-sales services for the European market. Our German service center covers an area of 5,000 m² and features a heat pump showroom, training facilities, and a spare parts warehouse. Leveraging 22 years of manufacturing experience and global certifications (CE, KEYMARK, MCS, ERP), we deliver reliable and customized R290 heat pump solutions tailored for European homes.",Tashkent,https://www.linkedin.com/company/power-world-heat-pump
"PRODN INTELLIGENT PUMP (ANHUI) CO.,LTD",prodnpump.com,,,Uzexpocentre NEC,China,"PRODN INTELLIGENT PUMP (ANHUI) CO.,LTD",H 35,"PRODN is a professional manufacturer of intelligent variable‑frequency water pumps and complete pump spare parts for HVAC and water‑supply systems. Our frequency‑driven pumps deliver stable constant‑pressure performance with remarkable energy‑saving effect. Featuring soft start‑stop, low‑noise operation and multi‑protection functions, they effectively avoid water‑hammer damage and extend service life. We support OEM & ODM services and warmly welcome distributors and project partners across Central Asia for business cooperation.",Tashkent,
"PROFESSIONAL WATER MANAGEMENT, LTD | SWEM",,,,Uzexpocentre NEC,Uzbekistan,"PROFESSIONAL WATER MANAGEMENT, LTD | SWEM",K 112,advweqdc.com,Tashkent,
QAPLAST,qaplast.kz,,,Uzexpocentre NEC,Kazakhstan,QAPLAST,K 114,"The pipeline products of QAPLAST LLP are manufactured in accordance with GOST R 54475-2011 using modern equipment from LRS Planung & Technologie GmbH (Germany) and comply with Kazakhstan and international standards. The company produces corrugated pipes with diameters from 125 to 1,000 mm, over 67 product types, polymer tanks for food and non-food products, and children's playgrounds and play complexes. QAPLAST LLP also provides installation and maintenance services and offers direct sales, technical consultations, and customized product development.",Tashkent,
"QINGDAO TIANYICOOL.CO.,LTD",tianyicool.cn,,,Uzexpocentre NEC,China,"QINGDAO TIANYICOOL.CO.,LTD",K 136,"TIANYICOOL is one of excellent manufactures in commercial and industrial refrigeration field ,serving over 35 countries worldwide building the its vision of being the first choice in refrigeration.",Tashkent,
"ROBERT BOSCH, REPRESENTATIVE OFFICE IN UZBEKISTAN",bosch-homecomfort.uz,,,Uzexpocentre NEC,Uzbekistan,"ROBERT BOSCH, REPRESENTATIVE OFFICE IN UZBEKISTAN",G 46,"Bosch Thermotechnik GmbH is one of the divisions of the Bosch Group. Its core business is the production and distribution of heating technology for residential and industrial projects. As part of Robert Bosch LLP, the Bosch Home Comfort division in Central Asia is responsible for the sale of heating equipment in Kazakhstan, Uzbekistan, Turkmenistan, Tajikistan, and Kyrgyzstan - as well as Mongolia. The main brands represented in the region are Bosch and Buderus. The company has offices in Tashkent, Almaty, and training center with operational equipment and a warehouse in Almaty.",Tashkent,
"ROKA VENT, FE LLC",rokavent.uz,,,Uzexpocentre NEC,Uzbekistan,"ROKA VENT, FE LLC",L 20,Roka Vent,Tashkent,
ROLS ISOMARKET,rols-isomarket.ru,,,Uzexpocentre NEC,Russian Federation,ROLS ISOMARKET,H 96,"ROLS ISOMARKET is Russia's largest manufacturer of professional insulation. The company's range is represented by products of the brands: Energomax®, Energoflex®, Energocell® HT, Energofloor®, Energopack®, as well as branded accessories and tools Energopro®. The ROLS ISOMARKET plant in Pereslavl-Zalessky (Yaroslavl region) is equipped with the most modern extrusion technology for polymers. Today, it is the largest enterprise in Eastern Europe for the production of insulating materials with a total area of 7000 m², which has implemented a set of measures that minimize the impact of production activities on the environment.",Tashkent,
RTT,,,,Uzexpocentre NEC,Russian Federation,RTT,H 56,"RTP LLC was founded in 2005 as a manufacturing company for the production of polymer pipes and fittings for the needs of the Russian and foreign markets. To date, RTP LLC: - Has modern European equipment - Uses high-quality raw materials and components - Produces more than 4,000 types of sanitary engineering products - Has achieved a significant position in the market of polymer pipes and fittings; - Increased production volumes by 25 times - Works with design and construction organizations.",Tashkent,
"RUSHAN CITY INNOVATIVE NEW ENERGY TECHNOLOGY CO.,LTD",,,,Uzexpocentre NEC,China,"RUSHAN CITY INNOVATIVE NEW ENERGY TECHNOLOGY CO.,LTD",K 34,"Shandong Safety Energy Equipment Co., Ltd. is a professional pressure vessel manufacturer with full qualifications and authoritative certifications. We hold over 60% market share in China and gain broad industry recognition.",Tashkent,
SAMAN TAHVIEH,,,,Uzexpocentre NEC,Iran,SAMAN TAHVIEH,K 132,Air Conditioning-DUCT& INSULATION SYSTEM PRODUCER,Tashkent,
"SANTEX DIZAYN, LTD",,,,Uzexpocentre NEC,Uzbekistan,"SANTEX DIZAYN, LTD",H 70,Polypropylene pipes and fittings pvc pipes and fittings brass parts polyethylene water tanks,Tashkent,https://www.linkedin.com/company/hydro plast
SANTEXNIKA FRAP,frap.uz,,,Uzexpocentre NEC,Uzbekistan,SANTEXNIKA FRAP,H 84,"Gappo & Frap Group is an internationally recognized holding company ranked No. 1 in plumbing products across the CIS. Our product range includes faucets, shower systems, and bathroom accessories under the premium GAPPO brand and the stylish, reliable FRAP brand. Manufactured from the highest quality brass using German engineering and Spanish Sedal cartridges, our products fully comply with ISO9001 and CE standards. Environmental safety, up to 30% water savings, and modern design are our core values. Recognized in over 70 countries, these brands are delivered across Uzbekistan through an official distribution network with a quality guarantee.",Tashkent,
SANTIM,san.team,,,Uzexpocentre NEC,Russian Federation,SANTIM,F 102,"SANTIM — for 20 years we have been supplying engineering and interior plumbing for wholesale clients and equipping facilities; a leading enterprise in industry. Exclusive brands: STM, ONDO, ROEGEN, FLOE. Why choose SANTIM? • Favorable price-to-quality ratio; • > 3,000 SKU; • > 80% of the range always in stock; • Compliance with Russian and international ISO 9001:2015 standards; • Discount system; • Personal manager and technical support at all stages; • Free delivery for minimum order amount; • Marketing support. By working with us, you meet a wide range of needs for engineering plumbing, heating, water supply, and sewage in one place — without unnecessary approvals or delays.",Tashkent,
"SHANDONG FUDE NEW ENERGY EQUIPMENT CO., LTD.",,,,Uzexpocentre NEC,China,"SHANDONG FUDE NEW ENERGY EQUIPMENT CO., LTD.",F 58,"Founded in 2009, Fude Group is a national high-tech enterprise integrating the manufacturing, R&D and testing, as well as sales and promotion of heat pump products. It has won the honor of ""Leading Brand"" in China's heat pump industry for 7 consecutive years (2019-2025).",Tashkent,
"SHANDONG HAICHUANG AIR CONDITIONING CO., LTD",,,,Uzexpocentre NEC,China,"SHANDONG HAICHUANG AIR CONDITIONING CO., LTD",K 20,"With 32 production lines of end-of-life product series, and the self-manufacturing ratio reaching 92%, Haichuang has professional experience on oem/odm manufacturing of all kinds of HVAC units, such as modular/cabinet/direct expansion air conditioning units, fan coil units, ceiling-mounted cabinet jet air handling units, etc.",Tashkent,
"SHANGHAI SANFU CHEMICAL CO.,LTD",sanfush.com,,,Uzexpocentre NEC,China,"SHANGHAI SANFU CHEMICAL CO.,LTD",F 54,Fluorochemical One-Stop Supplier,Tashkent,
"SHANGHAI SUNHIGH HOPE LOOK BUILDING MATERIAL CO., LTD",hopelook.com,,,Uzexpocentre NEC,China,"SHANGHAI SUNHIGH HOPE LOOK BUILDING MATERIAL CO., LTD",H 32,"Shanghai HongTian company is a 30 years factory focused on Plastic pipe fitting manufacture. The main products is: PP Silent pipe fitting, PPR pipe fitting, HDPE pipe fitting. Welcome to contact with us:MABEL@HOPELOOK.COMMobile/ Whatspp/ Wechat: +86-18221039015",Tashkent,
"SHANGHAI TIANQUAN LEGEND TRADING CO., LTD.",,,,Uzexpocentre NEC,China,"SHANGHAI TIANQUAN LEGEND TRADING CO., LTD.",K 69,"We were founded in the late 1980s and are now located in Qingpu District, Shanghai. Currently, we have 4 factories with a floor space of over 550,000 square meters and group output of over 150,000 pumps annually. We are a pump manufacturer specializing in industrial centrifugal pumps, producing pump ranges including inline pumps, sewage pumps, end suction pumps, double suction split casing pumps and chemical process API pumps. We have prestigious certifications like TUV, CE, ISO 9001, ISO 14001, and OHSAS 1801.",Tashkent,
"SHANGQIU FLOWMAX PIPE INDUSTRIAL CO.,LTD.",theflowmax.com,,,Uzexpocentre NEC,China,"SHANGQIU FLOWMAX PIPE INDUSTRIAL CO.,LTD.",H 60,"SHANGQIU FLOWMAX PIPE INDUSTRIAL CO.,LTD.was established in 2011, located in Jinan, the national transport hub city of Shandong Province, China. The factory is located in Shangqiu City, Henan Province, China. It covers an area of 5,000 square metres and has 30 sets of casting machines and 3 plastic pipe production lines. We specialise in the development and manufacture of PP-R hot and cold water supply pipes and fittings, PP ,PE pipe fittings, PP ,PE quick couplings, PVC ball valves.",Tashkent,
