exhibitor_name,domain,contact_number,mail,location,country,company_name,booth,description,city,linkedin_url
ABC Fragrances,abcfragrances.com,+97142264639,info@abcfragrances.com,"Al Garhoud, Dubai, United Arab Emirates",United Arab Emirates,ABC Fragrances,,ABC Fragrances Crafting Fragrances Since 1964 WHO WE ARE The ABC Group of Companies was established in 1964 with a vision...,Dubai,
Abdos Lamitubes Manufacturing LLC,abdolamitubes.com,+971552850082,raj.kamal@abdoslamitubes.com,"Al Ethihad Road, Umm Al Quwain, United Arab Emirates",United Arab Emirates,Abdos Lamitubes Manufacturing LLC,B11,We are UAE based manufacturer of tubes making Plastic Barrier Laminated (PBL) and Aluminium Barrier Laminated (ABL) tubes...,Umm Al Quwain,
Abdul Mateen Dhamma Perfumes Industry LLC,khadlaj-perfumes.com,+97143477557,,"12943, United Arab Emirates",United Arab Emirates,Abdul Mateen Dhamma Perfumes Industry LLC,C24,"We offer a complete solution, from developing the Fragrance to designing, manufacturing, and the required logistics support...",,
"Abely Cosmetics Co., Limited",abelypackaging.com,+8613751817576,abelyperfumes@gmail.com,"Fayuen St 2- 16, Hong Kong, China",China,"Abely Cosmetics Co., Limited",D36,Our Heritage: A Foundation Built on Excellence Founded on the principle that exceptional fragrance deserves exceptional presentation...,Hong Kong,
Abhinav Perfumers,abhinavperfumers.com,+919727870918,abhinav@abhinavperfumers.com,"G-106, Lodhika, GIDC, Kalawad Road 106, 360021, Rakjot, India",India,Abhinav Perfumers,C09,"We craft the most distinct and recognizable fragrances that can be extensively used in Fine Fragrance, Personal Care & Beauty...",Rakjot,
ACO Perfumes and Cosmetics LLP,khadlaj-perfumes.com,,abunasar@ffperfumes.com,"Bellasis Road, Opp Cipla Pharmaceutical, 400008, Mumbai, India",India,ACO Perfumes and Cosmetics LLP,H25,"Aco Perfumes & Cosmetics LLP, the Indian arm of The Attarwala Group, is a privately held conglomerate with diversified operations...",Mumbai,
Activilong Paris,pariscorner.ae,+33607524823,ocheffre@labomai.com,", Ave. du Montboulon 2, 77165, Saint Soupplets, France",France,Activilong Paris,D11,"Activilong is a family brand expert in textured hair, created in 1983 by Professional Hair Stylist Yannick Cheffre. All of...",Saint Soupplets,
Addoony Cosmetics Trading,addoony.com,,addoony@addoony.com,"Al Markhiya St., Doha, Qatar",Qatar,Addoony Cosmetics Trading,B09,"Addoony Beauty is a Qatari beauty brand established in 2018, creating high-quality makeup designed to combine modern luxury...",Doha,
Adene Perfumes & Cosmetics Trading L.L.C.,khadlaj-perfumes.com,+971552266112,admin@adenetrading.com,"B2B Tower Business Bay, 390350, Dubai, United Arab Emirates",United Arab Emirates,Adene Perfumes & Cosmetics Trading L.L.C.,G27,,Dubai,
Adhespack Ind. Com. Imp. e Exp. Ltda,,+551196184-5593,sergio.picciarelli@adhespack.com.br,"Rua dos Inocentes, 292 Socorro, 04764-050, São Paulo, Brazil",Brazil,Adhespack Ind. Com. Imp. e Exp. Ltda,M12,,São Paulo,
"Aekyung Industrial Co., Ltd.",aekyung.co.kr,+822-768-2188,huikyung.kim@aekyung.kr,"Yanghwa-ro, Mapo-gu, 04051, Seoul, Korea, the Republic of (South)","Korea, the Republic of (South)","Aekyung Industrial Co., Ltd.",C20,"[Company Introduction]Aekyung Industrial began as Aekyung Oil and Fat Industry Co., Ltd. in 1954 based on the corporate philosophy...",Seoul,
Aff Aromatics PVT LTD,affarom.com,+913322834642,info@blueglobalfze.com,"Shakespeare Sarani 45, 700017, Kolkata, India",India,Aff Aromatics PVT LTD,C11,AFF Aromatics Pvt. Ltd. is a family owned creative Fragrance House with a history nearing 80 years. The company is committed...,Kolkata,
Afnan Perfumes LLC,afnanperfumes.com,+97167474441,marketing@afnan.com,"7771, United Arab Emirates",United Arab Emirates,Afnan Perfumes LLC,L11,"Afnan Perfumes, founded in 2007 by Imran Fazlani, is a UAE-based international fragrance brand celebrated for its premium...",,
Afrolatam Wax Trading LLC,wa.me,+971522107592,nooshin@nnc-chem.com,"79188, United Arab Emirates",United Arab Emirates,Afrolatam Wax Trading LLC,F09,,,
AFURO TECH LTD.,,+8618565830919,davidhuang2021@outlook.com,"3A902,Hengyi Tech Zone, 528200, FOSHAN, China",China,AFURO TECH LTD.,D43,,FOSHAN,
AG Poly Packs,agpolypacks.com,+919891832327,aditya@polypacks.com,"245304, India",India,AG Poly Packs,G10,"AG Poly Packs: Packaging Possibilities, Made for Beauty With 3+ decades of packaging expertise, 4,500+ brands served and...",,
Agarwal Herbal Products,wa.me,+918433992045,exportsales@agarwalherbalproducts.com,"Plot No 4&6 Opp CIDCO Exhibition Center 1404, 14Th, 400703, Navi Mumbai, India",India,Agarwal Herbal Products,D41,Since 1997 Agarwal Herbal Products has earned a reputation for excellence in the international market. We are proud to be...,Navi Mumbai,
AGI Greenpac Limited,agigreenpac.com,+917093790101,shailendra.tiwari@agi-glaspac.com,"Survey No 474 and 476 Montighanpur Village, 509202, Hyderabad, India",India,AGI Greenpac Limited,F12,AGI Greenpac Limited is a sustainable packaging solutions company that manufactures and markets various packaging products...,Hyderabad,
Agilise Cosméticos Indústria e Comércio Eireli,agilisecosmeticos.com.br,+55198491085,juliana.lopes@agilisecosmeticos.com.br,"Vila Pagano, 13277-240, Valinhos, Brazil",Brazil,Agilise Cosméticos Indústria e Comércio Eireli,C25,,Valinhos,
Aglow Medical Devices LLC,aglowmedical.com,+1202-751-2477,info@aglowmedical.com,"SE 8th Street #325 11400, 98004, Bellevue, United States",United States,Aglow Medical Devices LLC,G37,Welcome to AGLOW MEDICAL，Where patient safety is our number one priority. Innovation is key in our product line. You will...,Bellevue,
Agroline,,+216021699761972,info@dermafig.com,"Rue Industrielle, 8000, Nabeul, Tunisia",Tunisia,Agroline,G05,"DERMAFIG Laboratoire is a Tunisian cosmetics brand specializing in natural skincare, haircare and wellness products inspired...",Nabeul,
AHMED PERFUME MANUFACTURING (S.P.S - L.L.C),khadlaj-perfumes.com,+97167420602,syed.naim@ahmedalmaghribi.com,"3850, United Arab Emirates",United Arab Emirates,AHMED PERFUME MANUFACTURING (S.P.S - L.L.C),H26,"Founded in 2000 by Mr. Kafeel Ahmed, Ahmed Al Maghribi Perfumes stands as a symbol of Arabic elegance and olfactory artistry...",,
Aiklik Global LLC,,+1713-851-5178,info@aiklik.com,"Hulton Park 10114, 77494, Kaly, United States",United States,Aiklik Global LLC,H28,"Aiklik Global LLC offers a curated portfolio of beauty essentials and advanced formulations, empowering beauty lovers to...",Kaly,
Ailusi Machinery Limited,,+8613268337069,ava@gzailusi.com,"Chatham Road South 61-65, Hong Kong",Hong Kong,Ailusi Machinery Limited,D32,"Ailusi Machinery is a professional enterprise which work on chemical machinery research, manufacturing, selling and offer...",,
"AIRAPHA Co., Ltd.",airapha.com,+8242-622-1500,,"3F, 632, Daejeoncheondong-ro, Dong-gu, 34624, Daejeon, Korea, the Republic of (South)","Korea, the Republic of (South)","AIRAPHA Co., Ltd.",C15,Airapha is a South Korean professional salon equipment company dedicated to advancing salon technology and elevating the...,Daejeon,
"Aisiyun International Group (HK) Co., Ltd",,+85218033079850,travis@asyantiforgery.com,"No. 8 Wang Kwong Road Flat/RM F, Hong Kong, Hong Kong",Hong Kong,"Aisiyun International Group (HK) Co., Ltd",L24,ASY Group is a leading security printing enterprise that combines digital technology innovation with banknote-level anti...,Hong Kong,
Ajmal Group L.L.C,,+97197145474111,priyanka.h@ajmal.net,"Malak Fabsen Import & Export 201, Dubai, United Arab Emirates",United Arab Emirates,Ajmal Group L.L.C,B02,,Dubai,
Ajwa Almoda Trading LLC,wa.me,+97142575698,sales4@sanheglass.com,"Deira, 252097, Dubai, United Arab Emirates",United Arab Emirates,Ajwa Almoda Trading LLC,C36,"SANHE GLASS was founded in 2006, a professional cosmetic and perfume container manufacturer, locating in Xinyi city, Jiangsu...",Dubai,
Al Absar- ABC PERFUMES,khadlaj-perfumes.com,0529993344,faizan@coolandcool.com,"30229, United Arab Emirates",United Arab Emirates,Al Absar- ABC PERFUMES,C32,"ABC Perfumes is part of ABC Group, headquartered in Dubai, U.A.E., and operating since 1964. Today, the group stands among...",,
Al Anfar Perfumes Trading L.L.C.,khadlaj-perfumes.com,+971508743354,admin@alanfarperfumes.com,"Al Muteena B 178, Dubai, United Arab Emirates",United Arab Emirates,Al Anfar Perfumes Trading L.L.C.,F12,"Founded and led by Almas Anfar Kathuria, Founder, Owner and Third-Generation Perfumer, Al Anfar Perfumes is a UAE-based fragrance...",Dubai,
Al Asrar Perfumes IND LLC SP,khadlaj-perfumes.com,+971529256686,,"4863, United Arab Emirates",United Arab Emirates,Al Asrar Perfumes IND LLC SP,E12,,,
Al Basel Cosmetics Tr L.L.C.,albaselco.com,+97165599577,info@albaselco.com,"71101, United Arab Emirates",United Arab Emirates,Al Basel Cosmetics Tr L.L.C.,A37,,,
Al Haramain Perfumes Mfg. & Oudh Processing Industry LLC,khadlaj-perfumes.com,+97167480555,support@alharamainperfumes.com,"Al Salam Street, 1885, Ajman, United Arab Emirates",United Arab Emirates,Al Haramain Perfumes Mfg. & Oudh Processing Industry LLC,E16,Al Haramain Perfumes has been a front-runner in perfumery since 1970. We do what we love and so we always explore the changing...,Ajman,
Al Jothan Perfumes,khadlaj-perfumes.com,+97165222782,info@aljothan.com,"Sharjah Industrial Area, Sharjah, United Arab Emirates",United Arab Emirates,Al Jothan Perfumes,E12,"At Al Jothan Perfumes, we pride ourselves on offering complete perfume packaging solutions that enhance the allure and elegance...",Sharjah,
Al Khadlaj Perfumes IND LLC,khadlaj-perfumes.com,+97165340753,asif@khadlaj-perfumes.com,"Industrial Area 11, Sharjah, United Arab Emirates",United Arab Emirates,Al Khadlaj Perfumes IND LLC,E16,"Established in 1997, Khadlaj Perfumes started out as an extraordinary brand with one clear purpose of creating fragrances...",Sharjah,
Al Majed Oud,almajed4oud.com,+97142578909,m.mokhtar@almajed4oud.com,"85995, 2nd Industrial Area, Riyadh - 13321 - KSA, Saudi Arabia",Saudi Arabia,Al Majed Oud,L22,"Al Majed for Oud is one of the Middle East’s leading fragrance houses, with over 70 years of expertise in crafting premium...","2nd Industrial Area, Riyadh - 13321 - KSA",
Al Masmoum for Perfumes and Cosmetics LLC,khadlaj-perfumes.com,+201205029434,info@masmoumfragrances.com,"Northern Extension Industrial Zone, 12004, 11828, Obour City, Egypt",Egypt,Al Masmoum for Perfumes and Cosmetics LLC,D20,"Al Masmoum for Perfumes & Cosmetics is an established manufacturer of perfumes, personal care, hair care, and home fragrance...",Obour City,
Al Sahab Company for Packing and Filling LLC,gulforchid.com,,hamzakalla@alsahabjo.com,"Office 212, Floor 2, Sameh Mall. Khalda, 11953, Amman, Jordan",Jordan,Al Sahab Company for Packing and Filling LLC,B39,,Amman,
Al Wara Perfumes Industry LLC,wa.me,+97165386310,procurement@alwagroup.com,"Plot No: 6284, Al Sajaa Emirates industrial City, Sharjah, United Arab Emirates",United Arab Emirates,Al Wara Perfumes Industry LLC,C19,"Al Wara Group, comprised of Al Wara Perfumes Industry & Al Wara Printing Press, has been established in the UAE from 2004...",Sharjah,
AL WATAN PERFUMES IND.LLC.,houseofwatan.com,+97165351870,admin@houseofwatan.com,"95480, United Arab Emirates",United Arab Emirates,AL WATAN PERFUMES IND.LLC.,A12,,,
Al Zaitoun Trading LLC,,+971509460181,rajabasharat44@gmail.com,"Sabka Road, Dubai, United Arab Emirates",United Arab Emirates,Al Zaitoun Trading LLC,F44,,Dubai,
Al-Masmoum Company Ltd,,+20226920475,info@masmoum.com,"Industrial Zone, 11841, Obour City, Egypt",Egypt,Al-Masmoum Company Ltd,C28,"Established in 1987, Al-Masmoum Company has grown into a trusted name in the cosmetics and beauty industry. With more than...",Obour City,
Alaanpay Technology FZCO,,+971585457105,niamh@alaanpay.com,"Unit No: 4505-001-D6, Dubai, United Arab Emirates",United Arab Emirates,Alaanpay Technology FZCO,C40,,Dubai,
Alcan International (L.L.C),alcan.com,+97142671101,rajendra@alcaninternational.com,"Bagdad Street, Dubai, United Arab Emirates",United Arab Emirates,Alcan International (L.L.C),B10,"Al-Can Exports Pvt. Ltd. started its operation in Mumbai, in the year 1991. Al-Can is Asia's leading manufacturer and exporter...",Dubai,
ALE International LLC,,+97142279283,,"17251, United Arab Emirates",United Arab Emirates,ALE International LLC,E10,"ATCOPACK-ALE International LLC is a renowned brand in the field of Packaging, Weighing, Coding & Intralogistics, Material...",,
Alezz Oud Establishment,alezz-oud.com,+966506936981,eissa@alezz-oud.com,"Ahmed Ibn Barakah Al Kawthar Dist., 23743, Jeddah, Saudi Arabia",Saudi Arabia,Alezz Oud Establishment,G46,ALezz Oud (العز للعود) is a Saudi Arabian fragrance house dedicated to the art of traditional Middle Eastern perfumery. Each...,Jeddah,
Algabo S.A.,,+549115907-5829,hfernandez@algabo.com,"Estados Unidos Tortuguitas 5125/5133, 1667, Buenas Aires, Argentina",Argentina,Algabo S.A.,D09,Algabo has more than 35 years of experience in the Personal Care market as a result of an on-going growth and complete commitment...,Buenas Aires,
ALGORITHM CODING EXPERT ARTIFICIAL INTELLIGENCE L.L.C,,+971564614873,acescreativeadmin@gmail.com,"Al Khawaneej 2 Al Shressh St. Villa 06, Dubai, United Arab Emirates",United Arab Emirates,ALGORITHM CODING EXPERT ARTIFICIAL INTELLIGENCE L.L.C,G10,"ACES Creative is a Dubai-based creative growth partner helping ambitious brands build stronger identities, connect with their...",Dubai,
Alkahlaa Perfumes,khadlaj-perfumes.com,+97197563035241,info@alkahlaa.com,"Sharjah Industrial Area, Sharjah, United Arab Emirates",United Arab Emirates,Alkahlaa Perfumes,G42,,Sharjah,
ALLBEAUTY FZC,albeauty-fzc.com,+97165244023,,"Saif Zone Zone, 123396, Sharjah, United Arab Emirates",United Arab Emirates,ALLBEAUTY FZC,D11,"ALLBEAUTY FZC ALLBEAUTY FZC, is a UAE-based perfumery company...",Sharjah,
Allure Perfumes Manufacturing LLC,khadlaj-perfumes.com,+97172219351,vedanta@allureintl.com,"AL GHAIL INDUSTRIAL PARK, 51031, Ras Al Khaimah, United Arab Emirates",United Arab Emirates,Allure Perfumes Manufacturing LLC,A23,Allure Perfumes Manufacturing is one of the oldest and is a leading manufacturer of aerosol & perfumery products. Since commencing...,Ras Al Khaimah,
Alma K. S.R.L.,,+447575866230,laura@alma-k.com,"VIALE GIUSEPPE MAZZINI 10, 50132, FIRENZE, Italy",Italy,Alma K. S.R.L.,D10,"Meet Miss Kay, Your Perfume Obsession. Miss Kay is a playful, expressive fragrance brand built around one simple idea: perfume...",FIRENZE,
Almas National Company,,+966126478780,info@mnpperfumes.com,"Al Madina St., 23442, Jeddah, Saudi Arabia",Saudi Arabia,Almas National Company,M26,"Al Mas National Company for Perfumes was established in 2012 inJeddah, Saudi Arabia, with a clear vision to offer the finest...",Jeddah,
Almas Perfume and Cosmetics Trading L.L.C,khadlaj-perfumes.com,+97143238322,dxb@almasperfume.com,"Badri Building 12, Dubai, United Arab Emirates",United Arab Emirates,Almas Perfume and Cosmetics Trading L.L.C,C28,Almas Perfume and Cosmetics Trading L.L.C is a UAE-based fragrance and cosmetics company specializing in the manufacturing...,Dubai,
Alobon (Hong Kong) Co Ltd,,+8618316862882,83420593@qq.com,"Wydham Street 46-48, -, Hong Kong",Hong Kong,Alobon (Hong Kong) Co Ltd,A28,Our company is a professional cosmetics production and services of cosmetic products in one.And insists the production mode...,-,
"Alovea Healthcare Co., Ltd.",,+8617302273176,wuxuan@ka-care.com,"No.188 Fu Chun Jiang Rd New District, 215163, Suzhou, China",China,"Alovea Healthcare Co., Ltd.",J35,,Suzhou,
Alpla Werke Alwin Lehner GmbH & Co KG,alpla.com,+4366488798313,andre.niederacher@alpla.com,"Allmendstraße, 6971, Hard, Austria",Austria,Alpla Werke Alwin Lehner GmbH & Co KG,E27,Discover the innovative ALPLAinject pump solutions for beauty and personal care applications. Combining exceptional quality...,Hard,
ALREHAB PERFUMES,khadlaj-perfumes.com,+966551187722,sales@alrehab.com,"Al Khatafi 6565, 22233, Jeddah, Saudi Arabia",Saudi Arabia,ALREHAB PERFUMES,E26,"From the heart of the vibrant city of Jeddah, nestled along the coast of the Red Sea, ALREHAB PERFUMES was born in 1975—with...",Jeddah,
Alta Oils Ltd.,,+359886418461,tanya.markova@altaoils.com,"Iskra 26 str, 6100, Kazanlak, Bulgaria",Bulgaria,Alta Oils Ltd.,F20,Alta Oils Ltd is a family owned Bulgarian producer of essential oils and floral waters. We are based in the heart of the...,Kazanlak,
Altona Cosmetics Technology Sanayi Ve Tic. A.S.,skcosmetics.ae,+902123251115,trademarketing@notecosmetics.com,"Karamehmet Mahallesi, Avrupa, Serbest Bölgesi 13.Sokak No:8 Ergene Tekirdag, Istanbul, Türkiye",Türkiye,Altona Cosmetics Technology Sanayi Ve Tic. A.S.,B10,"Launched with the vision of blending European quality with global inclusivity, Note has become a favourite in more than 80...",Istanbul,
Amaral Marques Indústria de Cosméticos LTDA,skcosmetics.ae,+553198833-5588,export@clorofitum.com.br,"Zona Rural, 36570-000, Viçosa, Brazil",Brazil,Amaral Marques Indústria de Cosméticos LTDA,B16,,Viçosa,
AMAXXON COSMETICS LTDA,skcosmetics.ae,+551899117-0210,opmi4@dcbeautycosmetics.com,"Av Rui Barbosa, 3101 - Jd Paulista, 19815-000, Assis - SP, Brazil",Brazil,AMAXXON COSMETICS LTDA,C17,АMAXХON COSMETICS is a premium brand of hair and personal care products that combines the power of Amazonian natural ingredients...,Assis - SP,
AMBER + BLACK LIMITED,amberandblack.co.nz,+64419202023,nick@amberandblack.co.nz,"196 Clyde Road, 8053, Christchurch, New Zealand",New Zealand,AMBER + BLACK LIMITED,G22B,"In the untouched alpine landscapes of New Zealand’s South Island, dense forests of black beech trees produce ‘honeydew’: a...",Christchurch,
Ambisyn Global Limited,,+1888-868-8188,ambisynvip001@foxmail.com,"625 Nathan Road 1508, Hong Kong, Hong Kong",Hong Kong,Ambisyn Global Limited,A38,,Hong Kong,
AMDIE Moroccan Agency for Investment and Export Development,gulforchid.com,+2125372-26400,info@amdie.gov.ma,"Avenue Attin, 10100, Rabat, Morocco",Morocco,AMDIE Moroccan Agency for Investment and Export Development,H26,The Moroccan Investment and Export Development Agency plays driving role in the sectorial promotion of the Moroccan offer...,Rabat,
America Golden Wave LLC,wa.me,+1847-677-8277,fiona.golden.wave@gmail.com,"Castleton Street 17800, 91748, City Of Industry, United States",United States,America Golden Wave LLC,H30,"Ariel Biotech is a trusted skincare manufacturer specializing in high-quality, competitively priced formulations with flexible...",City Of Industry,
American Crew,,,,"Buhairah Corniche, Sharjah, United Arab Emirates",United Arab Emirates,American Crew,,,Sharjah,
"Amica Co., Ltd",amica-lab.com,+8210-7695-4268,jme@amica-lab.com,"Hakdong-ro 313, 06061, Seoul, Korea, the Republic of (South)","Korea, the Republic of (South)","Amica Co., Ltd",C13,AMICA COSMETICS TRADING L.L.C. is a Korean professional skincare and aesthetic solutions company built from real skin experience...,Seoul,
Amilal Ramkishan Dass,,+911294045517,ar.faridabad@gmail.com,"Plot No. 674, Street No.02, Khatri Wara, 121002, Faridabad, India",India,Amilal Ramkishan Dass,C25,"Welcome to Amilal RamKishan Dass – where tradition meets innovation in hair and skincare. Founded in 1966 in Faridabad, India...",Faridabad,
Amka Products (Pty) Ltd.,amka.co.za,+27126740620,moosa@amka.co.za,"Sunderland Ridge, 0157, Pretoria, South Africa",South Africa,Amka Products (Pty) Ltd.,H12,,Pretoria,
Amrit Soap Company,amritsoap.com,+919417001410,info@amritsoap.com,"753/4, G.T. Road Near Jalandhar Bye Pass Chowk B-XXXII, 141008, Ludhiana, India",India,Amrit Soap Company,G10,"Founded in 1952, Amrit Soap Company began with a clear commitment to quality and dependable everyday products. Over the decades...",Ludhiana,
"An Fu County Rich Crystal Arts Co., Ltd.",,+1796-738-8188,arzurebio@126.com,"Industrial Zone, An Fu, 343200, Jian, United States",United States,"An Fu County Rich Crystal Arts Co., Ltd.",I27,,Jian,
Anant Fragrance Private Limited,anantfragrance.in,+91792273050,harsh@anantfragrance.com,"Nagarvel Hanuman Rd, 380023, Ahmedabad, India",India,Anant Fragrance Private Limited,D27,Anant Fragrance Pvt Ltd. We are Manufacturer of Fragrances Since Past 3 Decades...,Ahmedabad,
"Ancient To Today Co., Ltd. (OHMIA)",oh-mia.com,+82821023223632,jay.park@attdayseoul.com,"Convensia-daero, Yeonsu-gu 165, Incheon, Korea, the Republic of (South)","Korea, the Republic of (South)","Ancient To Today Co., Ltd. (OHMIA)",E35,,Incheon,
Ancorotti Perfumes S.R.L,khadlaj-perfumes.com,+39373876811,aimperatori@ancorotticosmetics.com,"Via dell'Industria, 26013, Crema, Italy",Italy,Ancorotti Perfumes S.R.L,B04,"At Ancorotti Group, beauty makes up our soul. We are contract manufacturing leaders that believe in the worldwide value of...",Crema,
Anesi Lab,anesilab.com,,emendez@drv.es,"C/ Oro 10, 28770, Colmenar Viejo, Spain",Spain,Anesi Lab,H23,ANESI LAB: Cosmeceutical Science-Led Skincare. Modern formulas with unique blends of concentrated proven actives forexceptional...,Colmenar Viejo,
"Anhui Primechem Co., Ltd.",,+8613956080778,henry@primekem.com,"Huaining Avenue 288, 230071, Hefei, China",China,"Anhui Primechem Co., Ltd.",F32,"For over 3 decades, Primechem Co., Ltd., has proven to be a professional and outstanding supplier, offering a diverse range...",Hefei,
Anjac Health & Beauty,anjac.com,+33153459449,contact@anjac.fr,"Rue de la Banque, 75002, Paris, France",France,Anjac Health & Beauty,D37,"ANJAC Health & Beauty is a French family-owned industrial group and the partner of health laboratories, beauty and wellness...",Paris,
Annie Monoprosopi Ike,,+302102431540,export@annie.com.gr,"Roumelis, 136 72, Athens, Greece",Greece,Annie Monoprosopi Ike,C38,Annie is an export cosmetic company,Athens,
Antidot Pro,,,logistic@nazih.com,"Buhairah Corniche 0, Sharjah, United Arab Emirates",United Arab Emirates,Antidot Pro,,"At Antidotpro, wellness is not an afterthought, it is the foundation of everything we do. From research and development to...",Sharjah,
APTAR BEAUTY,aptar.com,+33130871980,salome.merabet@aptar.com,"12 - 14 Rue Louis Bleriot, 92500, Rueil Malmaison, France",France,APTAR BEAUTY,H26,"Aptar Beauty is part of AptarGroup, a global leader in drug and consumer product dosing, dispensing and protection technologies...",Rueil Malmaison,
ARA BEAUTY LLC,ardalzaafaranshop.com,+1626-316-2268,jessevpeskila@yeah.net,"Donna Road 23, 02459, Massachusetts, United States",United States,ARA BEAUTY LLC,"G39, G39","ARA BEAUTY, LLC is a rapidly growing salon equipment service brand and committed to providing professional, durable products...",Massachusetts,
"Araesen Aromatique, S.L.U",araesen.com,+34937812062,scarrion@araesen.es,"Llinar del Valles 20, 08450, Llinar del Valles, Spain",Spain,"Araesen Aromatique, S.L.U",A35,GLOBAL SAPHIR GROUP & ARAESEN AROMATIQUEFrom Fragrance to Finished Product WHO WE ARE Behind every great perfume lies a story...,Llinar del Valles,
ARC Perfumes and Cosmetics L.L.C,khadlaj-perfumes.com,+971522186786,hashim.batliwala@gmail.com,"92760, United Arab Emirates",United Arab Emirates,ARC Perfumes and Cosmetics L.L.C,M12,,,
ARCADIA DIS TICARET VE PAZARLAMA ANONIM SIRKETI,arcadiaff.com,+902124721732,info@arcadiaff.com,"Ikttelli OSB Neighborhood Corapcılar G Blk. St.No.3, 34490, Istanbul, Türkiye",Türkiye,ARCADIA DIS TICARET VE PAZARLAMA ANONIM SIRKETI,D28,,Istanbul,
Ard Al Zaafaran Trading LLC,ardalzaafaranshop.com,+971561319784,obaid@ardalzafaaranshop.com,"Deira Gold Souk, 28068, Dubai, United Arab Emirates",United Arab Emirates,Ard Al Zaafaran Trading LLC,D32,"Like the sacred Saffron it is named after, Ard Al Zaafaran carries more than a fragrance — it carries emotion, grace, and...",Dubai,
ARD PERFUMES FACTORY L L C,khadlaj-perfumes.com,+97165697935,info@ardperfumes.com,"Umm Al Thoub, New Industrial Area, Umm Al Quwain, United Arab Emirates",United Arab Emirates,ARD PERFUMES FACTORY L L C,D10,ARD Perfumes Factory LLC is a UAE-based perfume manufacturer and retailer specializing in Arabic and French-inspired fragrances...,Umm Al Quwain,
